idticker,symbol
741,DSCI
2481,DSGX
779,DSKX
1286,DSKY
668,DSLV
780,DSPG
745,DSWL
727,DTEA
723,DTLK
746,DTRM
781,DTSI
289,DTUL
290,DTUS
291,DTYL
292,DTYS
788,DVAX
765,DVCR
215,DWAT
725,DWCH
728,DWSN
747,DXCM
2746,DXGE
2748,DXJS
2750,DXKW
744,DXLG
785,DXPE
2754,DXPS
748,DXTR
2482,DXYN
787,DYSL
825,EA
865,"EAC           "
795,EACQ
796,EACQU
797,EACQW
774,EAGL
775,EAGLU
776,EAGLW
254,EARS
803,EBAY
804,EBAYL
831,EBIO
805,EBIX
790,EBMT
1660,EBSB
856,EBTC
809,ECAC
810,ECACR
811,ECACU
807,ECHO
2617,ECOL
842,ECPG
845,ECYT
813,EDGE
814,EDUC
874,EEFT
808,EEI
1393,EEMA
826,EFII
848,EFOI
857,EFSC
815,EFUT
816,EGAN
791,EGBN
8,EGHT
792,EGLE
817,EGLT
1800,EGOV
793,EGRX
858,EGT
818,EHTH
847,EIGI
819,EKSO
828,ELEC
829,ELECU
830,ELECW
846,ELGX
806,ELON
827,ELSE
834,ELTK
836,EMCF
835,EMCI
821,EMITF
837,EMKR
798,EML
838,EMMS
844,ENDP
853,ENFC
850,ENG
851,ENPH
2483,ENSG
1109,ENT
841,ENTA
854,ENTG
855,ENTL
1396,ENZL
859,"ENZY          "
370,EPAY
860,EPIQ
870,EPIX
861,EPZM
864,EQBK
863,EQFN
862,EQIX
823,ERI
866,ERIE
849,ERII
840,ERS
833,ESBK
867,ESCA
875,ESEA
812,ESES
1019,ESG
1390,ESGD
1392,ESGE
1018,ESGG
852,ESGR
824,ESIO
822,ESLT
871,ESND
868,ESPR
888,ESRX
869,ESSA
611,ESXB
789,ETFC
872,ETSY
1568,EVAR
799,EVBS
876,EVEP
800,EVGBC
877,EVK
802,EVLMC
878,EVLV
879,EVOK
880,EVOL
801,EVSTC
794,EWBC
1388,EWZS
881,EXA
882,EXAC
883,EXFO
884,EXLS
886,EXPD
885,EXPE
887,EXPO
889,EXTR
890,EYEG
891,EYEGW
892,EZPW
989,FAB
988,FAD
896,FALC
1381,FALN
751,FANG
898,FARM
901,FARO
902,FAST
1033,FBIO
930,FBIZ
2486,FBMS
926,FBNC
938,FBNK
904,FBRC
903,FBSS
959,FBZ
962,FCA
960,FCAN
931,FCAP
935,FCBC
936,FCCO
3,FCCY
1054,FCEL
937,FCFP
932,FCFS
934,FCLF
933,FCNCA
894,FCS
910,FCSC
939,FDEF
1001,FDIV
905,FDML
913,FDUS
1044,FEIM
1041,FELE
965,FEM
908,FENX
967,FEP
1027,FES
968,FEUZ
977,FEX
925,FEYE
940,FFBC
941,FFBCW
1061,FFHL
1024,FFIC
942,FFIN
893,FFIV
899,FFKT
944,FFNW
945,FFWM
946,FGBI
911,FGEN
969,FGM
1028,FH
947,FHB
907,FHCO
972,FHK
949,FIBK
2485,FINL
922,FISI
1009,FISV
919,FITB
920,FITBI
2492,FITS
1010,FIVE
1013,FIVN
1746,FIZZ
976,FJP
1000,FKO
1005,FKU
293,FLAT
1022,FLEX
2487,FLIC
1023,FLIR
1015,FLKS
1058,FLL
1014,FLML
980,FLN
2,FLWS
1016,FLXN
1021,FLXS
983,FMB
951,FMBH
952,FMBI
1038,FMI
984,FMK
900,FMNB
953,FNBC
921,FNGN
906,FNHC
924,FNJN
987,FNK
927,FNLC
923,FNSR
954,FNWB
985,FNX
986,FNY
1026,FOGO
147,FOLD
1025,FOMX
992,FONE
1035,FORD
1055,FORK
1029,FORM
1031,FORR
1030,FORTY
1037,FOSL
2569,FOX
