<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACC,20110303,5.77,5.86,5.33,5.85,16300
AAME,20110303,2.1,2.12,2.1,2.12,500
AAON,20110303,20.6133,20.7133,20.2,20.2867,62100
AAPL,20110303,357.2,359.79,355.92,359.56,17885200
AAWW,20110303,68.33,70,68.31,69.84,205700
AAXJ,20110303,61.03,61.62,60.92,61.5,591200
ABAX,20110303,27.15,27.87,27.15,27.6,93400
ABCB,20110303,10.04,10.15,10,10.04,59100
ABCD,20110303,3.69,3.7,3.58,3.69,28700
ABCO,20110303,24.715,25.245,24.62,25.21,101200
ABFS,20110303,24.26,24.68,23.91,24.45,136500
ABIO,20110303,18.3,18.48,17.7,17.94,26200
ABMD,20110303,13.27,13.61,13.24,13.6,133500
ABTL,20110303,5.55,5.8,5.4,5.75,690900
ACAD,20110303,1.5,1.63,1.5,1.61,340600
ACAS,20110303,9.29,9.35,9.2,9.31,3425700
ACAT,20110303,13.23,13.88,13.13,13.59,101900
ACCL,20110303,8.57,8.9,7.83,8.08,490800
ACET,20110303,7.96,8.08,7.86,7.92,88100
ACFN,20110303,3.9,3.97,3.78,3.83,20700
ACGL,20110303,30.1333,30.2267,29.9867,30.0233,540800
ACHN,20110303,5.95,6.05,5.79,5.99,236800
ACIW,20110303,32.07,32.95,31.61,31.74,264100
ACLS,20110303,2.83,2.92,2.78,2.89,1528800
ACNB,20110303,15.26,15.26,15.26,15.26,200
ACOR,20110303,22.45,22.45,21.57,22.06,630500
ACPW,20110303,11.4,11.75,11.15,11.75,307600
ACRX,20110303,3.46,3.46,3.25,3.4,51800
ACTG,20110303,32.63,36.44,32.27,33.93,1604900
ACTS,20110303,2.54,2.6,2.51,2.54,225300
ACUR,20110303,3.26,3.3,3.16,3.26,39800
ACWI,20110303,48.82,49.15,48.63,49.12,285200
ACWX,20110303,45.71,46.08,45.7,46.05,269300
ACXM,20110303,16.54,17.01,16.46,16.88,217200
ADAT,20110303,1.06,1.08,1.06,1.08,15300
ADBE,20110303,34.82,35.35,34.8,35.05,3148500
ADEP,20110303,3.99,3.99,3.96,3.99,2500
ADES,20110303,13.51,14.2,13.5,14.1,13100
ADI,20110303,40.11,40.99,40.08,40.96,3159500
ADP,20110303,50.13,50.7,50.05,50.53,2740600
ADRA,20110303,29.35,29.46,29.29,29.45,5100
ADRD,20110303,23.14,23.24,23.12,23.22,10300
ADRE,20110303,47.4,47.64,47.24,47.62,40000
ADRU,20110303,22.52,22.68,22.52,22.68,11300
ADSK,20110303,40.79,41.93,40.71,41.17,1989700
ADTN,20110303,45.49,47.37,45.49,47.24,1069100
ADUS,20110303,4.58,4.7,4.4,4.69,28700
ADVS,20110303,28.15,28.47,27.98,28.29,226800
AEGR,20110303,14.7,15.03,14.62,15.03,7600
AEHR,20110303,1.8,1.8,1.68,1.78,21600
AEIS,20110303,16.35,16.9,16.29,16.74,1004200
AEPI,20110303,28.46,29.56,28.46,29.22,10900
AERL,20110303,10.25,10.75,9.97,10.49,361800
AETI,20110303,2.62,2.62,2.62,2.62,0
AEY,20110303,3.15,3.19,3.13,3.19,23800
AEZS,20110303,10.68,10.92,10.44,10.8,1501000
AFAM,20110303,39.1,39.27,38.22,38.37,154400
AFCB,20110303,13.94,13.95,13.86,13.86,9300
AFCE,20110303,14.64,14.7,14.54,14.6,39300
AFFX,20110303,5,5.17,4.99,5.17,792500
AFFY,20110303,6.49,6.5,6.33,6.41,194600
AFOP,20110303,12.89,13.28,12.83,13,91800
AFSI,20110303,19.19,19.49,19.14,19.36,159000
AGEN,20110303,0.93,0.95,0.92,0.94,193900
AGII,20110303,37.42,37.42,36.61,36.74,107500
AGNC,20110303,29.7,29.74,29.57,29.62,2199200
AGYS,20110303,5.27,5.35,5.2,5.34,97700
AHGP,20110303,55.35,55.41,54.82,55.32,29300
AHPI,20110303,4.69,5.03,4.56,5.01,9600
AIMC,20110303,21.47,21.61,20.91,21.08,233200
AINV,20110303,12.19,12.38,12.15,12.27,1868900
AIRM,20110303,19.4967,19.7933,19.2767,19.6133,37200
AIRT,20110303,9.72,9.72,9.65,9.7,2900
AIXG,20110303,44.6,44.64,44.02,44.5,143500
AKAM,20110303,38.52,39.06,37.71,37.78,7047300
AKRX,20110303,5.83,5.88,5.67,5.7,444200
ALCO,20110303,27.4,27.53,27.2,27.52,12700
ALGN,20110303,21.01,21.88,21.01,21.6,523200
ALGT,20110303,41.48,42.89,41.36,42.6,152900
ALIM,20110303,7.85,8,7.04,7.9,113800
ALKS,20110303,12.12,12.58,11.86,12.56,4237700
ALLB,20110303,11.01,11.1,11,11.05,9400
ALLT,20110303,15.55,16.25,15.3,16.1,258400
ALNY,20110303,10.6,10.69,10.5,10.57,150400
ALOG,20110303,53.5,54.55,53.24,54.49,30900
ALOT,20110303,7.65,7.65,7.45,7.54,2100
ALSK,20110303,10.05,10.13,10,10.07,440900
ALTE,20110303,21.7,22.05,21.56,21.82,424700
ALTI,20110303,2.55,2.58,2.45,2.52,114300
ALTR,20110303,43.03,44.32,42.93,44.2,6588000
ALVR,20110303,18.4,19.6,18.4,19.6,361500
ALXA,20110303,12.2,13.2,12.2,13.1,540200
ALXN,20110303,49.57,49.76,49.155,49.735,590800
AMAG,20110303,17.64,17.95,17.57,17.79,179500
AMAP,20110303,15.95,16.5,15.76,16.5,158400
AMAT,20110303,16.49,16.93,16.49,16.85,17573500
AMCC,20110303,10.63,10.76,10.27,10.58,982700
AMCF,20110303,4.86,5.06,4.85,4.95,29000
AMCN,20110303,6.26,6.33,5.97,6.22,476800
AMED,20110303,36.01,36.25,35.51,35.76,287500
AMGN,20110303,51.64,52.54,51.46,52.37,6533200
AMIC,20110303,5.25,5.25,5.25,5.25,0
AMKR,20110303,7.42,7.59,7.39,7.58,1657200
AMNB,20110303,21.15,21.71,21.15,21.66,7700
AMOT,20110303,7.63,7.67,7.31,7.36,20500
AMOV,20110303,28.15,28.42,28.15,28.42,3800
AMRB,20110303,6.44,6.47,6.41,6.45,6900
AMRI,20110303,4.48,4.59,4.46,4.56,77300
AMRN,20110303,7.71,7.8,7.47,7.51,1315700
AMRS,20110303,30.63,32.6,30.63,31.76,67100
AMSC,20110303,26.75,27.09,26.67,26.89,774800
AMSF,20110303,19.85,19.89,19.7,19.83,68900
AMSG,20110303,23.73,24.02,23.49,23.99,173200
AMSWA,20110303,6.79,6.95,6.74,6.95,148500
AMWD,20110303,19.84,20.63,19.71,19.97,29900
AMZN,20110303,174,174.46,172.05,172.79,4139100
ANAC,20110303,7.8,7.99,7.58,7.66,160900
ANAD,20110303,5.15,5.27,4.92,5.23,3626400
ANAT,20110303,78.85,80.61,78.84,80.52,29700
ANCB,20110303,10.79,10.85,10.7,10.75,14700
ANCI,20110303,4.95,4.95,4.89,4.89,15600
ANCX,20110303,7,7.1,6.95,7.1,16700
ANDE,20110303,48.59,49.11,47.97,48.36,203000
ANEN,20110303,19.88,19.96,19.64,19.74,44600
ANGO,20110303,17.19,17.19,16.84,16.92,73700
ANIK,20110303,9.19,9.4,9.16,9.18,117200
ANLY,20110303,4.55,4.64,4.42,4.5,24800
ANSS,20110303,55.52,56.08,55.18,55.28,665500
ANTH,20110303,5.6,5.83,5.52,5.73,56000
ANTP,20110303,3.45,3.45,3.4,3.4,3300
AOSL,20110303,13.1,13.1,12.69,13.04,56900
APAGF,20110303,77.36,78.91,77,78.91,14100
APEI,20110303,42.49,43.49,42.31,43.29,153900
APFC,20110303,6.14,6.15,6.12,6.15,5000
APOG,20110303,13.83,13.98,13.76,13.86,74100
APOL,20110303,45.04,45.41,44.57,45.26,1774600
APPY,20110303,3.48,3.54,3.48,3.54,69100
APRI,20110303,5.16,5.3,5.09,5.11,434800
APSA,20110303,15.4,15.52,14.52,14.52,1900
ARAY,20110303,9.94,10.25,9.93,10.07,342900
ARCC,20110303,17.61,17.78,17.56,17.75,1828200
ARCI,20110303,4.49,4.56,4.39,4.43,21400
ARCW,20110303,2.94,2.94,2.94,2.94,0
ARDNA,20110303,78.9,79.27,78.71,79.27,1100
AREX,20110303,32.2,32.33,31.09,31.96,189400
ARIA,20110303,5.85,5.98,5.81,5.93,1317300
ARII,20110303,21.16,22.13,21.12,21.8,158500
ARKR,20110303,14.3,14.3,14.25,14.3,3400
ARLP,20110303,77.5,77.74,76.85,77.23,76000
ARMH,20110303,29.6,29.92,29.14,29.39,4828200
ARNA,20110303,1.62,1.64,1.59,1.61,1242800
AROW,20110303,24.29,24.85,24.29,24.63,18800
ARQL,20110303,6.44,6.44,6.22,6.24,274200
ARRS,20110303,13.13,13.37,13.01,13.24,1151500
ARRY,20110303,2.81,2.86,2.79,2.82,109000
ARTC,20110303,34.44,34.9,34.24,34.73,126600
ARTNA,20110303,19.75,19.99,19.55,19.81,51400
ARTW,20110303,10.5,11.23,10.4,11.1,20100
ARTX,20110303,1.43,1.45,1.4,1.41,11700
ARUN,20110303,28.65,31.21,28.65,31.11,5150800
ARWR,20110303,0.66,0.67,0.64,0.65,434700
ASBC,20110303,14.54,14.68,14.5,14.6,918000
ASBI,20110303,5.1,5.1,4.84,4.84,3200
ASCA,20110303,17.6,18.12,17.55,18.07,382200
ASCMA,20110303,40.93,43.12,40.93,42.49,94100
ASEI,20110303,92.94,93.75,92.77,93.12,61500
ASFI,20110303,8.51,8.57,8.4,8.53,23000
ASIA,20110303,19.92,20.43,19.91,20.28,345100
ASMI,20110303,41.19,41.57,40.97,41.38,30700
ASML,20110303,45.67,45.92,45.41,45.82,1700400
ASNA,20110303,15.38,15.98,15.02,15.795,1223900
ASPS,20110303,30.16,30.29,29.8,29.91,87100
ASRV,20110303,2.25,2.27,2.25,2.27,1200
ASRVP,20110303,24.77,24.77,24.77,24.77,100
ASTC,20110303,1.17,1.17,1.15,1.16,39500
ASTE,20110303,34.7,34.91,34.33,34.55,70600
ASTI,20110303,3.05,3.05,2.8,2.89,463300
ASTM,20110303,2.16,2.19,2.1,2.17,311000
ASUR,20110303,1.7,1.7,1.6933,1.6933,1800
ASYS,20110303,23,24.08,23,23.9,468700
ATAI,20110303,7.89,8.02,7.84,7.88,28500
ATAX,20110303,5.62,5.66,5.62,5.66,55300
ATEA,20110303,3.26,3.3,3.17,3.25,8700
ATEC,20110303,2.67,2.82,2.66,2.72,713600
ATHN,20110303,44.88,46.12,44.88,45.92,328200
ATHX,20110303,2.55,2.58,2.53,2.57,50800
ATLO,20110303,18.17,18.49,18.16,18.49,6800
ATMI,20110303,18.31,18.55,18.28,18.44,176700
ATML,20110303,14.51,14.61,14.07,14.59,9521200
ATNI,20110303,33.4,33.85,32.96,32.98,167300
ATRC,20110303,10.19,10.32,10.1,10.25,33000
ATRI,20110303,173.55,174.74,172.95,174.74,2200
ATRM,20110303,1.81,1.82,1.77,1.77,17800
ATRO,20110303,21.69,22.49,21.65,22.49,21200
ATSG,20110303,7.94,8.09,7.78,8.06,341700
ATVI,20110303,11.07,11.23,11.07,11.21,7879300
ATX,20110303,10.78,11.1,10.78,11,10500
AUBN,20110303,19.92,19.92,19.92,19.92,0
AUDC,20110303,6.68,6.95,6.66,6.86,169900
AUXL,20110303,22.65,23.08,22.65,22.96,479000
AVAV,20110303,29.32,29.62,28.98,29.11,252600
AVEO,20110303,13.5,13.68,13.39,13.59,102500
AVGO,20110303,32.79,33.08,32.35,33,3284700
AVID,20110303,21.67,22.24,21.67,21.87,75700
AVNR,20110303,3.55,3.56,3.45,3.54,4005300
AVNW,20110303,6.14,6.27,6.12,6.15,363900
AWRE,20110303,3.6,3.68,3.6,3.6,1200
AXAS,20110303,5.86,5.93,5.62,5.78,1552900
AXFN,20110303,25.5,25.5,25.5,25.5,0
AXTI,20110303,7.27,7.44,7.13,7.25,608200
AZPN,20110303,15,15,14.8,14.88,537100
BABY,20110303,16.29,16.62,16.27,16.51,233400
BAGL,20110303,15.35,15.76,15.1,15.7,24800
BAMM,20110303,5.63,5.84,5.58,5.79,19600
BANC,20110303,16.17,16.54,16.01,16.4,27700
BANF,20110303,42.27,43.02,42,43.02,23200
BANFP,20110303,26.55,26.55,26.55,26.55,0
BANR,20110303,17.57,17.92,17.22,17.71,768000
BASI,20110303,1.97,1.98,1.9,1.98,24800
BBBY,20110303,48.35,49.1,48.27,48.88,1933600
BBEP,20110303,22.18,22.32,22.08,22.23,212900
BBGI,20110303,6.48,6.69,6.21,6.69,7700
BBNK,20110303,9.16,9.21,8.99,9.19,2000
BBOX,20110303,37.54,38.01,37.14,37.5,99700
BBRG,20110303,18.19,18.34,17.94,18.23,47000
BBRY,20110303,66.9,68.81,66.63,68.45,12623000
BBSI,20110303,14.65,15.09,14.65,15.07,12700
BCBP,20110303,10.78,11.23,10.27,10.53,5400
BCOM,20110303,30.25,30.26,30.25,30.25,300
BCPC,20110303,35.56,36.2,35.56,36.08,99300
BCRX,20110303,4.25,4.28,4.16,4.18,162900
BCSB,20110303,12.65,12.65,12.65,12.65,0
BDE,20110303,6.51,6.59,6.28,6.5,28800
BDGE,20110303,21.5,22.08,21.4,21.43,9800
BDMS,20110303,19.16,19.42,19.16,19.39,1400
BDSI,20110303,3.58,3.68,3.52,3.54,57000
BEAT,20110303,4.85,4.91,4.85,4.86,117900
BEAV,20110303,34.61,35.57,34.55,35.36,1031700
BEBE,20110303,5.83,5.95,5.82,5.91,376500
BECN,20110303,20.8,21.57,20.78,21.47,574300
BELFA,20110303,23.98,24.59,23.98,24.47,2700
BELFB,20110303,21.33,21.76,20.82,21.55,20900
BERK,20110303,7.25,7.41,7.2,7.2,800
BFIN,20110303,8.66,8.69,8.61,8.69,19500
BFLY,20110303,3.2,3.26,3.08,3.24,5300
BGCP,20110303,9.46,10.07,9.44,9.92,1319400
BGFV,20110303,12.52,12.96,12.35,12.5,57500
BGMD,20110303,8.73,8.75,8.6,8.7,5100
BIB,20110303,30.68,30.68,30.68,30.68,0
BICK,20110303,31.73,31.9,31.44,31.9,21200
BIDU,20110303,121.81,122.14,120.22,121.85,4044200
BIIB,20110303,70.05,71.95,70.04,71.42,1815500
BIOD,20110303,8.2,8.4,8.08,8.16,586500
BIOF,20110303,18.4,21,18.4,19,3283300
BIOS,20110303,4.19,4.29,4.19,4.27,550100
BIRT,20110303,4.82,4.88,4.8,4.81,447200
BIS,20110303,48.3,48.32,47.5,47.68,21700
BJRI,20110303,35.7,36.88,35.7,36.75,156100
BKCC,20110303,12.42,12.58,12.39,12.55,586800
BKMU,20110303,4.45,4.46,4.38,4.39,101000
BKOR,20110303,4.9,4.9,4.9,4.9,0
BKSC,20110303,11.66,11.75,11.66,11.75,200
BKYF,20110303,20.21,20.56,20.21,20.38,8300
BLDP,20110303,2.27,2.29,2.2,2.22,381100
BLDR,20110303,2.44,2.53,2.43,2.45,190800
BLIN,20110303,1.2,1.2,1.2,1.2,2900
BLKB,20110303,26.72,27.44,26.64,27.16,244900
BMC,20110303,49.06,50.31,49.05,50.26,1708900
BMRC,20110303,36.13,36.32,35.95,36.05,6800
BMRN,20110303,24.28,24.62,24.17,24.37,692800
BMTC,20110303,20.46,20.68,20.31,20.45,43100
BNCL,20110303,9,9,8.86,8.97,53700
BNCN,20110303,8.12,8.12,8.1,8.1,400
BNSO,20110303,2.36,2.36,2.22,2.3,4900
BOBE,20110303,30.63,31.09,30.45,30.7,260500
BOCH,20110303,4.03,4.35,4.02,4.27,56700
