<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACC,20110404,5.31,5.35,5.3,5.32,18800
AAME,20110404,2.07,2.17,2.04,2.17,600
AAON,20110404,21.38,21.5533,21.02,21.4267,52200
AAPL,20110404,344.25,344.6,338.4,341.19,16431500
AAWW,20110404,69.07,69.08,67.55,67.72,195000
AAXJ,20110404,64.76,64.9,64.48,64.87,1469300
ABAX,20110404,29.1,29.11,28.84,28.97,132700
ABCB,20110404,10.15,10.15,10.05,10.09,33900
ABCD,20110404,3.36,3.43,3.32,3.4,25400
ABCO,20110404,25.52,25.52,24.835,25.05,87200
ABFS,20110404,25.89,26.16,25.86,26.16,342500
ABIO,20110404,15.36,15.36,14.4,14.58,29500
ABMD,20110404,14.9,15.13,14.53,14.88,480300
ABTL,20110404,7.35,7.35,6.7,7.15,451300
ACAD,20110404,1.68,1.68,1.66,1.67,131600
ACAS,20110404,10.19,10.21,10.07,10.16,3025900
ACAT,20110404,15.73,15.82,15.31,15.55,63800
ACCL,20110404,8.05,8.07,7.86,7.86,304700
ACET,20110404,8.08,8.09,8.01,8.08,72700
ACFC,20110404,9.97,9.98,9.97,9.98,3000
ACFN,20110404,3.63,3.81,3.54,3.74,53800
ACGL,20110404,34.0533,34.4767,33.89,34.08,509300
ACHN,20110404,7.17,7.38,7.12,7.38,594500
ACIW,20110404,33.04,33.07,32.64,32.81,197100
ACLS,20110404,2.69,2.69,2.51,2.56,933600
ACNB,20110404,16.5,16.5,16.5,16.5,0
ACOR,20110404,22.76,23.16,22.11,22.32,571900
ACPW,20110404,14.85,14.9,14.3,14.5,453700
ACRX,20110404,3.36,3.45,3.12,3.35,25800
ACTG,20110404,36.19,36.96,35.68,36.57,839000
ACTS,20110404,2.45,2.48,2.41,2.41,51700
ACUR,20110404,3.38,4.04,3.32,3.9,528700
ACWI,20110404,48.96,49,48.77,48.87,1461300
ACWX,20110404,46.08,46.12,45.88,46.07,101400
ACXM,20110404,14.74,14.75,14.25,14.54,632900
ADAT,20110404,1.12,1.24,1.06,1.16,128300
ADBE,20110404,34.26,34.58,34.23,34.37,5499900
ADEP,20110404,4.67,4.71,4.67,4.68,5600
ADES,20110404,22.29,23.83,21.76,23.56,129400
ADI,20110404,39.16,39.2,38.29,38.5,2570600
ADP,20110404,51.89,52.01,51.58,52.01,1958100
ADRA,20110404,28.2,28.24,28.15,28.22,4600
ADRD,20110404,22.59,22.75,22.58,22.6,9600
ADRE,20110404,49.41,49.56,49.26,49.56,47000
ADRU,20110404,22.5,22.62,22.46,22.5,3200
ADSK,20110404,43.74,44.5,43.71,44,2532400
ADTN,20110404,41.71,41.89,41.05,41.54,723400
ADUS,20110404,5,5.25,4.99,5.17,58500
ADVS,20110404,28.7,28.82,28.25,28.48,169800
AEGR,20110404,16.29,17,16.29,16.71,44900
AEHR,20110404,1.82,1.89,1.71,1.72,36100
AEIS,20110404,16.06,16.28,16,16.01,400500
AEPI,20110404,30.62,30.98,30.13,30.75,35500
AERL,20110404,8.45,8.88,8.05,8.1,159800
AETI,20110404,2.7,2.83,2.67,2.79,15400
AEY,20110404,3.05,3.1,3.01,3.02,45700
AEZS,20110404,11.88,12,11.1,11.22,3986900
AFAM,20110404,37.3,37.85,37.3,37.42,23600
AFCB,20110404,13.55,13.55,13.55,13.55,0
AFCE,20110404,15.22,15.3,14.97,15.08,50300
AFFX,20110404,5.09,5.19,4.97,5.01,820200
AFFY,20110404,5.96,6.08,5.82,5.85,861000
AFOP,20110404,10.69,10.95,10.51,10.52,45800
AFSI,20110404,19.23,19.36,19.03,19.05,116100
AGEN,20110404,0.91,0.93,0.9,0.93,213600
AGII,20110404,32.52,32.74,32.44,32.52,68900
AGNC,20110404,29,29,28.7,28.73,3060300
AGYS,20110404,5.82,5.83,5.66,5.8,45300
AHGP,20110404,52.61,52.8,52.2,52.4,99400
AHPI,20110404,4.28,4.35,4.28,4.35,200
AIMC,20110404,24.28,24.6,23.99,24.09,166300
AINV,20110404,12.28,12.29,12.1,12.14,782400
AIRM,20110404,22.4667,23.11,22.44,23.11,61400
AIRT,20110404,9.45,9.48,9.37,9.45,6800
AIXG,20110404,44.5,44.9,44.24,44.88,145400
AKAM,20110404,37.79,38.09,37.46,37.7,2270500
AKRX,20110404,5.88,6.13,5.88,6.02,624200
ALCO,20110404,27.08,27.21,26.58,27.21,11900
ALGN,20110404,20.9,21.38,20.78,21.21,553500
ALGT,20110404,43.48,43.65,42.65,42.7,143300
ALIM,20110404,7.87,8.31,7.85,8.28,60700
ALKS,20110404,13.03,13.39,13.03,13.29,476600
ALLB,20110404,10.79,10.9,10.78,10.84,13700
ALLT,20110404,15.73,15.8,15.16,15.25,199900
ALNY,20110404,9.62,9.76,9.51,9.59,197900
ALOG,20110404,56.96,57.4,56.69,56.99,41600
ALOT,20110404,7.69,7.92,7.6,7.6,4300
ALSK,20110404,10.44,10.55,10.4,10.53,251000
ALTE,20110404,22.99,23.18,22.68,22.83,523400
ALTI,20110404,1.59,1.59,1.51,1.54,309000
ALTR,20110404,43.06,43.2,41.94,42.53,4098600
ALVR,20110404,18.8,18.8,18.2,18.6,101900
ALXA,20110404,16.7,16.7,15.3,15.9,738500
ALXN,20110404,49.95,50.84,49.665,50.395,911800
AMAG,20110404,17.02,17.64,17.01,17.52,154200
AMAP,20110404,18.15,18.79,18.11,18.76,70300
AMAT,20110404,15.54,15.58,15.26,15.4,21011100
AMCC,20110404,10.1,10.23,10,10.09,839900
AMCF,20110404,3.95,3.96,3.55,3.68,86400
AMCN,20110404,5.37,5.55,5.31,5.34,84900
AMED,20110404,32.75,32.85,31.83,32.52,390400
AMGN,20110404,53.32,54.3,53.21,54.03,5510200
AMIC,20110404,4.87,4.87,4.87,4.87,0
AMKR,20110404,6.81,6.82,6.58,6.62,1259400
AMNB,20110404,22.75,23,22.65,22.93,2900
AMOT,20110404,7.12,7.2,6.86,6.92,12100
AMOV,20110404,29.28,29.375,29.22,29.255,8300
AMRB,20110404,6.6,6.65,6.6,6.6,300
AMRI,20110404,4.34,4.34,4.25,4.32,40100
AMRN,20110404,7.47,7.73,7.37,7.39,1626300
AMRS,20110404,27.9,27.9,26.79,26.8,418400
AMSC,20110404,24.54,24.89,24.23,24.68,662900
AMSF,20110404,21.37,22.17,21.37,22.08,38500
AMSG,20110404,25.5,25.73,25.45,25.65,81700
AMSWA,20110404,7.47,7.7,7.32,7.65,55900
AMWD,20110404,20.92,21.18,20.45,20.89,13500
AMZN,20110404,180.89,183.61,180.69,182.94,4189600
ANAC,20110404,6.69,7,6.6,6.9,34700
ANAD,20110404,4.32,4.39,4.24,4.27,734800
ANAT,20110404,79.21,80.56,79.16,79.73,15300
ANCB,20110404,10.91,11,10.75,11,5200
ANCI,20110404,5.55,5.55,5.13,5.31,55300
ANCX,20110404,7.18,7.18,7.07,7.11,8800
ANDE,20110404,49.74,49.74,49.08,49.44,113400
ANEN,20110404,20.17,20.49,19.94,20.14,36500
ANGO,20110404,15.31,15.31,15.1,15.14,36300
ANIK,20110404,8.87,8.87,8.5,8.52,137300
ANLY,20110404,4.26,4.35,4.26,4.3,20400
ANSS,20110404,53.53,54.13,53.11,53.77,623300
ANTH,20110404,6.73,6.8,6.53,6.75,50100
ANTP,20110404,3.43,3.68,3.43,3.53,2000
AOSL,20110404,12.72,12.79,12.28,12.33,42700
APAGF,20110404,86,87.3,85.74,86.4,7000
APEI,20110404,41.25,41.35,40.13,41.16,93700
APFC,20110404,6.09,6.09,6.03,6.07,900
APOG,20110404,13.4,13.68,13.36,13.59,92900
APOL,20110404,41.37,41.5,40.31,40.79,2441000
APPY,20110404,4.68,4.74,4.26,4.56,200700
APRI,20110404,4.33,4.57,4.29,4.4,228000
APSA,20110404,14.63,15.13,14.63,15.05,3800
ARAY,20110404,9.13,9.28,8.81,8.98,588800
ARCC,20110404,17.21,17.35,17.2,17.26,1449700
ARCI,20110404,3.75,4.02,3.75,4.02,2700
ARCW,20110404,2.76,2.76,2.75,2.75,500
ARDNA,20110404,76.4,77.5,76.05,77.5,3900
AREX,20110404,32.2,33.58,31.9,32.02,531000
ARIA,20110404,7.88,8.15,7.77,7.97,2591500
ARII,20110404,24.94,25.42,24.56,24.81,99900
ARKR,20110404,14.26,14.34,14.23,14.34,3500
ARLP,20110404,81.68,82.74,80.92,82.65,117800
ARMH,20110404,28.01,28.16,27.78,28,2732400
ARNA,20110404,1.39,1.41,1.33,1.35,4878900
AROW,20110404,25.14,25.14,24.77,24.86,17500
ARQL,20110404,7.81,7.83,7.54,7.65,403900
ARRS,20110404,12.51,12.56,12.21,12.51,898100
ARRY,20110404,3.07,3.2,3.07,3.19,548400
ARTC,20110404,32.79,33.14,32.56,33.05,309700
ARTNA,20110404,19.7,19.73,19.51,19.71,9200
ARTW,20110404,10.07,10.25,9.96,9.96,4600
ARTX,20110404,1.4,1.4,1.3,1.35,30700
ARUN,20110404,33.15,34.04,32.96,33.6,2437400
ARWR,20110404,0.65,0.69,0.65,0.69,60300
ASBC,20110404,15.03,15.15,14.81,14.88,1013600
ASBI,20110404,4.55,4.55,4.55,4.55,0
ASCA,20110404,18.34,18.69,18.34,18.67,863900
ASCMA,20110404,48.46,49.48,48.25,49.29,49800
ASEI,20110404,93.08,94.79,92.7,93.16,31400
ASFI,20110404,8.51,8.51,8.27,8.33,19800
ASIA,20110404,22.57,22.91,22.17,22.24,640700
ASMI,20110404,40.42,40.94,40.18,40.64,228700
ASML,20110404,44.51,44.55,43.85,44.18,1592900
ASNA,20110404,16.215,16.425,16.035,16.075,590600
ASPS,20110404,30.9,30.9,30.77,30.9,20000
ASRV,20110404,2.24,2.25,2.14,2.24,10800
ASRVP,20110404,25.2,25.2,25.2,25.2,0
ASTC,20110404,1.07,1.07,1.05,1.06,33600
ASTE,20110404,38.11,38.4,37.83,37.91,115900
ASTI,20110404,2.15,2.17,1.58,1.65,2950200
ASTM,20110404,2.82,2.89,2.7,2.76,2708500
ASUR,20110404,1.8,1.8,1.7267,1.74,1500
ASYS,20110404,25.6,26.03,25.09,25.27,259000
ATAI,20110404,7.94,8,7.9,8,1500
ATAX,20110404,5.65,5.72,5.6,5.64,71200
ATEA,20110404,5.53,6.35,5.2,6.31,293300
ATEC,20110404,2.98,3.1,2.82,2.88,749600
ATHN,20110404,44.93,45.5,44.67,45,421500
ATHX,20110404,2.88,2.89,2.75,2.86,205200
ATLO,20110404,19,19,18.69,18.86,2100
ATMI,20110404,18.51,18.52,18.11,18.38,83200
ATML,20110404,13.16,13.34,12.91,13.14,6540500
ATNI,20110404,36.45,37.36,36.45,36.93,50600
ATRC,20110404,11.62,11.67,11.49,11.61,40900
ATRI,20110404,178.52,180.61,177.67,180.56,1400
ATRM,20110404,1.67,1.72,1.62,1.71,19300
ATRO,20110404,25.25,25.66,25.25,25.39,31000
ATSG,20110404,8.38,8.38,7.98,8.29,234500
ATVI,20110404,11.01,11.05,10.99,11.01,4151300
ATX,20110404,10.52,10.93,10.51,10.76,32100
AUBN,20110404,19.77,19.77,19.77,19.77,700
AUDC,20110404,5.83,5.93,5.62,5.76,165700
AUXL,20110404,21.61,21.61,21.21,21.46,517400
AVAV,20110404,30.86,31.07,29.8,30.2,815600
AVEO,20110404,13.11,13.32,13.11,13.18,104000
AVGO,20110404,31.33,31.59,29.96,30.6,1878900
AVID,20110404,21.91,22.22,21.55,21.72,98500
AVNR,20110404,4,4.07,3.9,3.96,4333900
AVNW,20110404,5.13,5.16,5.05,5.09,278900
AWRE,20110404,3.25,3.47,3.09,3.35,7000
AXAS,20110404,5.83,5.86,5.69,5.72,1066700
AXFN,20110404,25.96,25.96,25.96,25.96,0
