<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACC,20120309,4.47,4.9,4.43,4.69,111700
AAME,20120309,2.84,2.96,2.84,2.9,21300
AAON,20120309,18.11,18.75,17.95,18.48,35900
AAPL,20120309,544.44,547.74,543.11,545.17,14960600
AAWW,20120309,43.38,44.03,42.81,43.94,254000
AAXJ,20120309,57.4,57.64,57.3,57.45,269400
ABAX,20120309,27.48,27.87,27.21,27.41,68700
ABCB,20120309,11.81,12.15,11.75,11.97,43200
ABCD,20120309,3.04,3.08,2.69,2.81,26500
ABCO,20120309,41.49,42.21,41.395,41.6,64100
ABFS,20120309,17.77,18.59,17.64,18.52,325700
ABIO,20120309,5.82,5.88,5.64,5.76,97700
ABMD,20120309,21.18,21.96,21.1,21.87,429300
ABTL,20120309,4.8,4.85,4.65,4.75,9900
ACAD,20120309,1.59,1.65,1.59,1.6,169700
ACAS,20120309,9.03,9.1,8.96,9.02,2887300
ACAT,20120309,40.99,41.79,40.26,40.96,178900
ACCL,20120309,7.79,7.85,7.7,7.83,302200
ACET,20120309,8.74,9.1,8.7,9.1,277600
ACFC,20120309,2.15,2.15,2.15,2.15,0
ACFN,20120309,8.98,9.3,8.94,9.15,309200
ACGL,20120309,36.83,37.43,36.78,37.37,512800
ACHC,20120309,14.27,15.36,13.47,14.75,109800
ACHN,20120309,10.93,11.25,10.72,10.82,1608900
ACIW,20120309,38.58,39.59,38.34,39.16,223800
ACLS,20120309,1.61,1.65,1.59,1.63,1585500
ACNB,20120309,14.55,14.55,14.26,14.27,5100
ACOR,20120309,25.67,26.37,25.67,25.84,262500
ACPW,20120309,3.95,4,3.85,3.95,296500
ACRX,20120309,3.61,3.67,3.6,3.61,1400
ACTG,20120309,39.16,40.73,39.06,39.58,522000
ACTS,20120309,1.7,1.7,1.66,1.66,18000
ACUR,20120309,3.34,3.34,3.19,3.22,74700
ACWI,20120309,46.51,46.72,46.46,46.6,426400
ACWX,20120309,40.7,40.9,40.64,40.77,137700
ACXM,20120309,14.09,14.43,14.09,14.37,428600
ADAT,20120309,1.34,1.36,1.32,1.32,15600
ADBE,20120309,33.14,33.65,33.08,33.64,2910600
ADEP,20120309,4.31,4.46,4.25,4.34,14100
ADES,20120309,24.24,24.4,23.15,24.25,64700
ADI,20120309,38.58,39.01,38.54,38.89,2667600
ADP,20120309,54.27,55.08,54.27,54.95,2027000
ADRA,20120309,26.06,26.2,25.69,25.87,7900
ADRD,20120309,20.27,20.33,20.22,20.23,7400
ADRE,20120309,43.06,43.24,42.96,43.03,21900
ADRU,20120309,19.83,19.92,19.83,19.91,2500
ADSK,20120309,36.5,37.23,36.5,36.81,2035100
ADTN,20120309,31.72,32.84,31.59,32.5,2367100
ADUS,20120309,4.13,4.37,4.13,4.25,12300
ADVS,20120309,25.18,25.73,25.02,25.38,138600
AEGN,20120309,17.91,18.94,17.91,18.9,339700
AEGR,20120309,15.55,16.22,15.18,16.01,198000
AEHR,20120309,0.71,0.73,0.69,0.71,11900
AEIS,20120309,12.23,12.39,12.11,12.26,332800
AEPI,20120309,35.25,35.25,34.75,34.92,8900
AERL,20120309,6.3,6.45,6.28,6.35,72700
AETI,20120309,4.7,5.07,4.66,5.07,39100
AEY,20120309,2.08,2.19,2.08,2.14,16800
AEZS,20120309,11.04,11.28,10.86,10.98,2999500
AFAM,20120309,23.36,24.5,23.29,23.81,76300
AFCB,20120309,13.5,13.85,13.5,13.85,3200
AFCE,20120309,16.01,16.56,16,16.3,81700
AFFX,20120309,4.17,4.26,4.13,4.21,590900
AFFY,20120309,11.2,11.5,10.92,11,1632500
AFOP,20120309,9.22,9.4,9.21,9.32,9700
AFSI,20120309,25.75,26.21,25.67,26.19,194000
AGEN,20120309,4.26,4.43,4.1,4.4,157600
AGII,20120309,28.51,29.48,28.36,29.38,93900
AGNC,20120309,29.41,29.63,29.34,29.5,9328800
AGYS,20120309,8.05,8.44,8.05,8.23,102400
AHGP,20120309,50,50.23,49.13,50.09,57900
AHPI,20120309,3.32,3.39,3.29,3.39,15600
AIMC,20120309,19.07,19.66,19.05,19.26,130900
AINV,20120309,7.06,7.15,7.02,7.08,1389600
AIRM,20120309,30.6933,31.1,30.1767,30.5767,87700
AIRT,20120309,9.45,9.5,9.43,9.43,29400
AIXG,20120309,15.92,16.17,15.58,16.12,179100
AKAM,20120309,36.08,36.94,36.06,36.84,2789600
AKRX,20120309,11.9,12.06,11.73,11.92,1074000
ALCO,20120309,24.19,24.26,23.73,23.73,4900
ALGN,20120309,26.48,27,26.37,26.6,293600
ALGT,20120309,48.91,49.9,48.59,49.74,177200
ALIM,20120309,4.18,4.25,3.95,4.01,247700
ALKS,20120309,17.25,17.49,17,17.21,1600200
ALLB,20120309,11.35,11.35,11.35,11.35,0
ALLT,20120309,17.86,18.47,17.68,18.28,244000
ALNY,20120309,12.08,12.35,12.01,12.18,259500
ALOG,20120309,62.81,64.66,62.59,64.37,101700
ALOT,20120309,8.23,8.24,8.22,8.24,800
ALSK,20120309,3.12,3.2,3.08,3.17,861100
ALTE,20120309,22.99,23.35,22.92,23.26,296500
ALTI,20120309,0.63,0.66,0.6,0.65,136500
ALTR,20120309,37.2,38.14,37.2,38,4343800
ALVR,20120309,9.9,10,9.8,9.9,97000
ALXA,20120309,6.7,6.7,6.2,6.3,1069300
ALXN,20120309,84.9,85.39,84,84.73,1050900
AMAG,20120309,16.65,16.75,16.23,16.37,106700
AMAP,20120309,12.25,12.31,12.07,12.07,41900
AMAT,20120309,12.2,12.41,12.1,12.37,10748400
AMBT,20120309,4.85,5,4.84,4.95,2300
AMCC,20120309,6.52,6.77,6.46,6.76,495200
AMCF,20120309,3.44,3.46,3.44,3.46,400
AMCN,20120309,2.75,2.84,2.72,2.75,36600
AMCX,20120309,44.6,45.98,44.38,45.69,619100
AMED,20120309,12.31,13.19,12.31,13.05,959200
AMGN,20120309,67.82,68.25,67.54,68.01,3167000
AMIC,20120309,4.55,4.64,4.48,4.56,1000
AMKR,20120309,6.24,6.44,6.24,6.37,622200
AMNB,20120309,21.46,22.19,21.3,22.12,4700
AMOT,20120309,7.58,7.65,7.5,7.65,23400
AMOV,20120309,23.58,23.76,23.58,23.62,19700
AMPE,20120309,3.52,3.52,3.4,3.41,69200
AMRB,20120309,7.29,7.47,7.01,7.36,3200
AMRI,20120309,2.82,2.9,2.82,2.87,72300
AMRN,20120309,7.47,7.71,7.32,7.35,2475800
AMRS,20120309,4.96,5.1,4.84,5.07,646800
AMSC,20120309,3.86,3.9,3.75,3.77,426300
AMSF,20120309,23.58,24.13,23.44,23.72,69200
AMSG,20120309,25.44,26.26,25.34,26.16,183300
AMSWA,20120309,9.53,9.62,9.41,9.55,98700
AMWD,20120309,14.6,15.3,14.51,15.04,35300
AMZN,20120309,186.79,187.2,183.44,184.32,4510500
ANAC,20120309,5.49,5.71,5.49,5.56,31300
ANAD,20120309,2.28,2.43,2.28,2.31,513900
ANAT,20120309,71.11,71.49,71,71.49,11800
ANCB,20120309,9.21,9.25,9.21,9.25,14800
ANCI,20120309,1.53,1.92,1.5,1.92,307400
ANCX,20120309,10.55,10.55,10.26,10.52,6300
ANDE,20120309,44.31,45.26,44.13,44.62,88200
ANEN,20120309,16.44,16.68,16.29,16.6,51800
ANGI,20120309,15.41,15.66,15,15.5,70500
ANGO,20120309,12.39,12.66,12.24,12.44,85600
ANIK,20120309,11.3,11.95,11.3,11.9,76800
ANLY,20120309,5.51,5.67,5.5,5.57,26900
ANSS,20120309,62.8,63.53,62.8,63.38,241000
ANTH,20120309,6.15,6.43,6.15,6.42,480000
ANTP,20120309,2.23,2.37,2.23,2.37,1300
AOSL,20120309,9.35,9.54,9.34,9.52,64500
APAGF,20120309,66.49,68.21,65.81,65.98,23600
APEI,20120309,38.97,39.51,38.88,39,178000
APFC,20120309,7.59,7.64,7.59,7.64,1100
APOG,20120309,12.97,13.42,12.89,13.03,70800
APOL,20120309,42.67,43.04,42.46,42.52,1296600
APPY,20120309,4.44,4.8,4.44,4.8,112600
APRI,20120309,3.28,3.53,3.19,3.41,395400
APSA,20120309,19.32,20,19.32,19.84,2200
APWC,20120309,3.44,3.44,3.07,3.42,300
ARAY,20120309,6.62,6.85,6.61,6.64,340600
ARCC,20120309,16.49,16.5,16.4,16.44,1752000
ARCI,20120309,4.5,4.68,4.5,4.63,9100
ARCP,20120309,11.39,11.5,11.3,11.5,9000
ARCW,20120309,3.45,3.45,3.45,3.45,700
ARDNA,20120309,87,87,86.95,86.95,1100
AREX,20120309,34.88,35.65,34,35.44,840400
ARIA,20120309,14.9,15.07,14.68,14.72,2070700
ARII,20120309,27.78,28.26,27.38,27.59,43800
ARKR,20120309,16,16,15.69,15.7,2500
ARLP,20120309,70.68,70.96,70.28,70.74,43800
ARMH,20120309,26.88,27,26.68,26.98,1925500
ARNA,20120309,1.73,1.75,1.71,1.74,2860300
AROW,20120309,23.95,24.81,23.95,24.36,18000
