<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACC,20111006,3.05,3.16,3.05,3.06,32300
AAME,20111006,1.8,1.82,1.69,1.8,2000
AAON,20111006,16.71,18.1,16.71,18.08,72900
AAPL,20111006,373.12,384.78,371.8,377.37,29020700
AAWW,20111006,32.99,35.09,32.81,35.05,240100
AAXJ,20111006,47.18,48.3,46.97,48.22,211800
ABAX,20111006,23.38,23.63,22.95,23.58,141500
ABCB,20111006,9.25,9.37,9.2,9.34,87600
ABCD,20111006,2.99,3.09,2.94,3.06,67000
ABCO,20111006,30.26,30.9,30.085,30.675,138900
ABFS,20111006,16.1,16.69,15.77,16.65,495800
ABIO,20111006,6.6,7.02,6.48,7.02,24300
ABMD,20111006,11.72,11.72,11.39,11.59,171800
ABTL,20111006,4,4.6,3.8,4.55,135400
ACAD,20111006,1.1,1.1,1,1.02,1176500
ACAS,20111006,6.49,6.83,6.38,6.83,3388400
ACAT,20111006,15.02,15.5,14.79,15.48,106500
ACCL,20111006,6.46,6.66,6.34,6.5,170100
ACET,20111006,5.77,5.85,5.59,5.78,96000
ACFC,20111006,2.13,2.15,2.06,2.06,2200
ACFN,20111006,5.26,5.34,5.22,5.25,12700
ACGL,20111006,33.25,33.43,32.77,33.2,553100
ACHN,20111006,4.13,4.54,4.03,4.5,396300
ACIW,20111006,26.76,27.27,26.55,27.19,285300
ACLS,20111006,1.18,1.21,1.15,1.21,384100
ACNB,20111006,15.5,15.5,15.16,15.19,7500
ACOR,20111006,20.4,21.92,20.32,21.91,1070000
ACPW,20111006,6.5,6.55,6.25,6.55,312600
ACRX,20111006,3.04,3.17,3.04,3.04,2000
ACTG,20111006,36.15,37.83,35.49,37.81,452000
ACTS,20111006,1.98,1.98,1.94,1.98,27300
ACUR,20111006,3.76,3.87,3.66,3.84,64300
ACWI,20111006,39.58,40.5,39.3,40.44,845500
ACWX,20111006,35.25,36.19,35.15,36.19,69600
ACXM,20111006,10.48,11.03,10.48,11.01,485700
ADAT,20111006,1.78,1.78,1.44,1.64,60800
ADBE,20111006,24.6,25.34,24.49,25.33,3846200
ADEP,20111006,3.21,3.31,3.2,3.25,8200
ADES,20111006,15.25,15.27,14.8,14.9,33300
ADI,20111006,33.26,33.97,33.12,33.93,4405300
ADP,20111006,48.13,48.8,47.61,48.79,2687600
ADRA,20111006,22.71,22.71,22.66,22.7,1900
ADRD,20111006,18,18.25,18,18.25,300
ADRE,20111006,36.37,37.27,36.29,37.26,40000
ADRU,20111006,17.49,17.87,17.49,17.87,2100
ADSK,20111006,27.12,28.01,26.41,27.99,3313700
ADTN,20111006,28.14,29.09,27.86,29.07,691600
