<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACC,20120529,5.51,5.84,5.5,5.67,36900
AAME,20120529,2.73,2.8,2.67,2.8,4600
AAON,20120529,19.5,19.63,19.18,19.28,73900
AAPL,20120529,570.9,574,565.31,572.27,13589400
AAWW,20120529,46.72,47.6,46.23,47.36,191700
AAXJ,20120529,51.31,51.56,51.09,51.41,261100
ABAX,20120529,32.68,33.34,32.63,33.07,65600
ABCB,20120529,11.48,11.68,11.26,11.55,45800
ABCD,20120529,1.35,1.41,1.29,1.34,19100
ABCO,20120529,47.74,49.015,47.325,48.82,128000
ABFS,20120529,13.1,13.24,13.08,13.19,174800
ABIO,20120529,4.2,4.68,3.78,3.78,209700
ABMD,20120529,20.9,21.3,20.03,20.8,837700
ABTL,20120529,3.6,3.7,3.6,3.65,94200
ACAD,20120529,1.46,1.46,1.39,1.41,238800
ACAS,20120529,9.26,9.34,9.2,9.29,1509900
ACAT,20120529,36.34,37.92,36.03,36.29,130600
ACCL,20120529,7.75,7.75,7.6,7.74,82600
ACET,20120529,8.36,8.6,8.35,8.52,93700
ACFC,20120529,2.11,2.12,2.11,2.12,5900
ACFN,20120529,8.98,9.27,8.98,9.11,176400
ACGL,20120529,38.53,38.54,38.14,38.35,331800
ACHC,20120529,18.6,18.6,17.63,18,157600
ACHN,20120529,7.46,7.64,7.35,7.57,714400
ACIW,20120529,40.37,40.8,39.75,40.01,248200
ACLS,20120529,1.14,1.17,1.11,1.16,1465700
ACNB,20120529,14.84,14.9,14.67,14.9,2700
ACOR,20120529,22.65,22.8,22.19,22.5,165100
ACPW,20120529,3.7,4.2,3.65,4.05,224500
ACRX,20120529,3.54,3.55,3.4,3.4,800
ACTG,20120529,35.49,36.49,34.99,35.19,228800
ACTS,20120529,1.65,1.66,1.64,1.66,35700
ACUR,20120529,3.04,3.06,2.9,2.98,36100
ACWI,20120529,43.09,43.23,42.81,43.09,298500
ACWX,20120529,36.28,36.51,36.08,36.3,136400
ACXM,20120529,14.1,14.23,13.97,14.09,1344000
ADAT,20120529,1.54,1.56,1.44,1.44,89100
ADBE,20120529,31.88,32.26,31.61,32.05,3171100
ADEP,20120529,4.54,4.7,4.5,4.5,6500
ADES,20120529,25.96,27.23,25.96,26.65,54900
ADI,20120529,36.56,36.92,36.36,36.9,2553200
ADNC,20120529,19.49,19.62,18.19,19.12,60200
ADP,20120529,53.15,53.25,52.49,52.89,1901900
ADRA,20120529,22.7,22.8,22.7,22.8,2500
ADRD,20120529,18,18.03,17.88,17.98,4400
ADRE,20120529,37.12,37.34,36.81,37.07,16600
ADRU,20120529,17.75,17.75,17.75,17.75,0
ADSK,20120529,32.51,32.97,32.29,32.78,2140400
ADTN,20120529,30.5,30.86,30.24,30.79,764200
ADUS,20120529,3.84,3.89,3.76,3.87,12900
ADVS,20120529,26.94,27.16,26.55,26.98,114700
AEGN,20120529,16.62,16.96,16.45,16.67,122400
AEGR,20120529,13.75,14.4,13.53,14.27,17900
AEHR,20120529,1.08,1.16,1.05,1.1,12400
AEIS,20120529,13.77,13.95,13.56,13.76,456900
AEPI,20120529,34.83,34.95,34.42,34.81,27000
AERL,20120529,4.25,5,4.25,4.5,317500
AETI,20120529,4.49,4.49,4.33,4.33,5400
AEY,20120529,2.19,2.2,2.15,2.16,9000
AEZS,20120529,2.76,2.82,2.64,2.64,716500
AFAM,20120529,22.16,22.31,21.78,22.08,24900
AFCB,20120529,15,15,15,15,0
AFCE,20120529,21.15,21.43,20.9,21.27,225900
AFFX,20120529,4.99,5.05,4.93,4.95,484400
AFFY,20120529,14.25,14.85,14.21,14.5,1454700
AFOP,20120529,8.18,8.52,8.05,8.51,19800
AFSI,20120529,29,29.16,28.6,28.85,147200
AGEN,20120529,5.26,5.4,5.2,5.3,91000
AGII,20120529,28.95,29.1,28.66,28.8,227400
AGNC,20120529,32.41,32.56,32.13,32.54,8817300
AGNCP,20120529,25.56,25.56,25.37,25.44,61300
AGYS,20120529,7.24,7.3,7.01,7.04,38100
AHGP,20120529,43.34,43.99,42.83,43.26,54700
AHPI,20120529,3.21,3.21,3.11,3.11,1700
AIMC,20120529,17.38,17.71,17.2,17.48,80100
AINV,20120529,7.44,7.52,7.43,7.5,1395600
AIRM,20120529,31,31,30.55,30.7067,33100
AIRT,20120529,9.25,9.25,9.25,9.25,400
AIXG,20120529,15.34,15.56,15.1,15.36,114900
AKAM,20120529,29.51,30.01,29.47,29.98,1945900
AKRX,20120529,13.83,13.96,13.39,13.82,1021000
ALCO,20120529,24.92,25.12,24.65,25.04,8600
ALGN,20120529,32.1,32.9,32.01,32.26,1037400
ALGT,20120529,64.21,64.54,63.79,63.9,124200
ALIM,20120529,2.64,2.9,2.64,2.81,50500
ALKS,20120529,16.2,16.74,16.06,16.58,1711600
ALLB,20120529,11.88,11.88,11.88,11.88,300
ALLT,20120529,24.6,26.49,24.31,26.4,1563400
ALNY,20120529,10.25,10.34,9.97,10.13,329100
ALOG,20120529,66.04,67.83,66.04,67.7,49600
ALOT,20120529,8.15,8.27,8,8.01,9200
ALSK,20120529,1.89,1.95,1.87,1.91,225100
ALTE,20120529,22.81,22.89,22.44,22.55,425100
ALTI,20120529,0.66,0.66,0.61,0.61,30800
ALTR,20120529,34.75,35.18,34.41,35.15,4377000
ALVR,20120529,4.9,5.1,4.7,4.8,63800
ALXA,20120529,3.9,4,3.7,3.8,161100
ALXN,20120529,92.78,92.98,90.89,92.07,2642300
AMAG,20120529,14,14.28,13.91,14.22,105600
AMAP,20120529,11.4,11.55,11.29,11.41,140300
AMAT,20120529,10.64,10.77,10.57,10.71,13307400
AMBT,20120529,6.8,8.37,6.5,7.95,63200
AMCC,20120529,5.38,5.62,5.38,5.58,572700
AMCF,20120529,2.47,2.69,2.45,2.69,4400
AMCN,20120529,2.4,2.48,2.21,2.35,22700
AMCX,20120529,39.49,39.57,38.81,39.01,312100
AMED,20120529,10.95,11.4,10.95,11.32,491600
AMGN,20120529,69.27,69.38,68.75,69.28,4151800
AMIC,20120529,4.44,4.44,4.37,4.39,1900
AMKR,20120529,4.7,4.75,4.64,4.72,1161900
AMNB,20120529,22.2,22.93,21.92,22.7,23500
AMOT,20120529,6.08,6.09,5.8,5.8,8000
AMOV,20120529,24.3,24.3,23.9,24.25,6800
AMPE,20120529,2.89,3.08,2.81,2.83,133600
AMRB,20120529,7.16,7.35,7.16,7.33,72200
AMRI,20120529,2.72,2.81,2.65,2.7,56200
AMRN,20120529,11.84,12.8,10.96,12.27,12509000
AMRS,20120529,2.62,2.87,2.49,2.76,772800
AMSC,20120529,3.75,3.93,3.73,3.79,324600
AMSF,20120529,27.28,27.35,27.13,27.35,41500
AMSG,20120529,27.76,27.89,27.56,27.68,122300
AMSWA,20120529,8.1,8.1,7.97,8.03,36500
AMWD,20120529,16.82,17.02,16.51,16.94,26300
AMZN,20120529,214.3,216.55,212.29,214.75,2695900
ANAC,20120529,5.41,5.45,5.24,5.27,120900
ANAD,20120529,2,2.01,1.96,1.98,295700
ANAT,20120529,69.05,69.6,68.16,68.86,26400
ANCB,20120529,10.75,10.75,10.75,10.75,100
ANCI,20120529,1.62,1.62,1.44,1.47,65500
ANCX,20120529,12.47,12.63,12.38,12.6,28300
ANDAU,20120529,9.9,9.9,9.9,9.9,5000
ANDE,20120529,44.7,45.1,43.95,44.9,247100
ANEN,20120529,19.12,19.38,18.97,19.28,66200
ANGI,20120529,12.4,12.46,11.78,12.11,567900
ANGO,20120529,12.32,12.32,12.1,12.22,52600
ANIK,20120529,13.68,14.17,13.62,13.79,117900
ANLY,20120529,3.95,3.95,3.85,3.85,13000
ANSS,20120529,63.06,63.14,61.31,63.06,1198500
ANTH,20120529,1.87,1.98,1.82,1.89,132500
ANTP,20120529,2.52,2.55,2.52,2.53,4100
AOSL,20120529,9.1,9.22,8.99,9.06,27100
APAGF,20120529,23.5,23.8,22.84,23.59,25400
APEI,20120529,29.29,29.64,29.01,29.56,147400
APFC,20120529,8.5,8.65,8.34,8.37,4700
APOG,20120529,15.07,15.17,14.69,14.96,118000
APOL,20120529,33.28,33.69,33.1,33.54,1123700
APPY,20120529,3.9,3.9,2.4,2.46,31900
APRI,20120529,2.72,2.77,2.64,2.7,144900
APSA,20120529,14.37,14.37,14.37,14.37,0
APWC,20120529,2.99,2.99,2.9,2.9,7900
ARAY,20120529,6.23,6.32,6.09,6.22,318100
