<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACC,20120618,5.8,5.96,5.73,5.92,61900
AAIT,20120618,26.12,26.12,26.12,26.12,0
AAME,20120618,2.72,2.72,2.7,2.72,1600
AAON,20120618,20,20.33,19.77,19.84,40800
AAPL,20120618,570.96,587.89,570.37,585.78,15728900
AAWW,20120618,42.18,43.41,41.99,43.13,165000
AAXJ,20120618,52.32,52.59,52.09,52.46,183800
ABAX,20120618,34.22,35.09,34.08,34.91,97700
ABCB,20120618,11.86,11.98,11.57,11.66,50000
ABCD,20120618,1.17,1.19,1.07,1.13,54600
ABCO,20120618,47.955,48.35,47.675,48.015,165600
ABFS,20120618,12.25,12.58,12.19,12.51,415500
ABIO,20120618,3,3.12,3,3.12,35600
ABMD,20120618,21.94,22.07,21.63,21.7,316300
ABTL,20120618,3.8,3.9,3.7,3.9,79100
ACAD,20120618,1.48,1.54,1.48,1.53,224200
ACAS,20120618,9.36,9.45,9.26,9.38,2014300
ACAT,20120618,33.7,34.78,32.73,34.06,243800
ACCL,20120618,7.89,8.09,7.88,7.95,197300
ACET,20120618,8.4,8.61,8.32,8.54,96900
ACFC,20120618,2.36,2.4,2.32,2.32,2400
ACFN,20120618,8.47,8.79,8.31,8.58,189700
ACGL,20120618,37.05,37.22,36.8,36.87,1344200
ACHC,20120618,16.91,17.37,16.56,16.95,152300
ACHN,20120618,6.63,6.9,6.53,6.58,800000
ACIW,20120618,40.49,43,40.26,41.99,632500
ACLS,20120618,1.18,1.24,1.15,1.22,357500
ACNB,20120618,14.52,14.57,14.51,14.55,40200
ACOR,20120618,23.63,24.16,23.63,23.88,224700
ACPW,20120618,4.3,4.65,4.2,4.55,532900
ACRX,20120618,2.94,2.98,2.9,2.9,2200
ACTG,20120618,34.78,36.17,34.36,35.84,332100
ACTS,20120618,1.59,1.66,1.59,1.63,44700
ACUR,20120618,3,3.12,2.9,3.11,35900
ACWI,20120618,43.48,43.7,43.34,43.6,594800
ACWX,20120618,36.56,36.79,36.5,36.75,239800
ACXM,20120618,13.18,13.61,13.18,13.56,550100
ADAT,20120618,1.34,1.38,1.3,1.3,66100
ADBE,20120618,32.27,32.68,32.08,32.63,4579400
ADEP,20120618,4.61,4.75,4.4,4.75,1900
ADES,20120618,26.46,27.66,26.33,27.06,74200
ADI,20120618,36.76,37.6,36.66,37.56,1880900
ADNC,20120618,21.9,22.96,21.06,22.36,163200
ADP,20120618,54.78,55.18,54.63,55.1,1589600
ADRA,20120618,22.86,22.97,22.86,22.97,1700
ADRD,20120618,18.19,18.32,18.16,18.22,2500
ADRE,20120618,36.71,37.24,36.71,37.2,18500
ADRU,20120618,17.87,17.87,17.87,17.87,300
ADSK,20120618,33.11,33.85,32.76,33.64,1613900
ADTN,20120618,29.21,29.84,28.93,29.8,474100
ADUS,20120618,4.36,4.56,4.36,4.46,44700
ADVS,20120618,26.58,27.13,26.53,26.95,117000
AEGN,20120618,15.88,16.23,15.7,15.86,155900
AEGR,20120618,14.69,14.78,14.52,14.58,201800
AEHR,20120618,1.27,1.27,1.24,1.25,2300
AEIS,20120618,13.52,13.82,13.44,13.6,202800
AEPI,20120618,36.83,37.05,36.49,36.87,49100
AERL,20120618,4.03,4.14,4.01,4.07,62200
AETI,20120618,4.5,4.55,4.31,4.55,27800
AEY,20120618,2.1,2.1,2.06,2.06,1800
AEZS,20120618,2.7,2.82,2.7,2.76,632500
AFAM,20120618,20.98,20.98,20.39,20.71,78600
AFCB,20120618,15,15,15,15,200
AFCE,20120618,20.66,21.02,20.36,20.84,149600
AFFX,20120618,5.07,5.5,5.05,5.39,871700
AFFY,20120618,12.95,13.32,12.66,13.06,620000
AFOP,20120618,8.55,8.88,8.55,8.85,12700
AFSI,20120618,29.4,29.73,29.2,29.67,270800
AGEN,20120618,5.24,5.35,5.2,5.26,209700
AGII,20120618,28.64,29.97,28.49,28.53,77300
AGNC,20120618,33.71,33.71,33.45,33.61,10573200
AGNCP,20120618,25.64,25.65,25.57,25.65,76800
AGYS,20120618,7.77,7.89,7.58,7.69,69200
AHGP,20120618,38.3,38.33,37.52,37.89,183800
AHPI,20120618,3.23,3.26,3.08,3.08,1100
AIMC,20120618,16.2,16.35,15.92,16.04,91200
AINV,20120618,7.42,7.51,7.38,7.42,1482900
AIRM,20120618,30.5,30.6633,29.96,30.29,88200
AIRT,20120618,8.16,8.16,8.15,8.15,1200
AIXG,20120618,14.33,14.44,14.12,14.3,173500
AKAM,20120618,31.01,31.67,30.75,31.33,3139000
AKRX,20120618,14.62,14.95,14.5,14.8,827900
ALCO,20120618,25.59,25.83,24.79,25.63,19000
ALGN,20120618,31.76,35.1,31.72,33.25,3793100
ALGT,20120618,65.12,67.18,64.4,67,110000
ALIM,20120618,2.76,2.84,2.65,2.75,169400
ALKS,20120618,15.57,16.39,15.46,16.27,1410900
ALLB,20120618,11.98,11.98,11.98,11.98,200
ALLT,20120618,26.55,28.08,26.36,27.52,564100
ALNY,20120618,11.52,11.85,11.43,11.75,305000
ALOG,20120618,61.81,62.65,61.56,61.73,45300
ALOT,20120618,8.19,8.19,7.61,8.1,3000
ALSK,20120618,1.97,2.05,1.97,2.04,655900
ALTE,20120618,22.3,22.57,22.25,22.48,335400
ALTI,20120618,0.63,0.64,0.58,0.59,13500
ALTR,20120618,32.9,33.84,32.79,33.74,3365600
ALVR,20120618,4,4.1,4,4,256800
ALXA,20120618,2.75,2.75,2.55,2.57,209300
ALXN,20120618,93.23,94.34,92.72,94.06,1419300
AMAG,20120618,15.08,15.08,14.79,14.84,126200
AMAP,20120618,12.59,12.98,12.12,12.37,295400
AMAT,20120618,10.94,11.06,10.91,11,11442000
AMBT,20120618,8.2,8.32,7.95,8.12,20800
AMCC,20120618,5.38,5.59,5.36,5.55,270900
AMCF,20120618,2.27,2.27,2.26,2.26,600
AMCN,20120618,2.77,2.81,2.53,2.61,43500
AMCX,20120618,38.27,38.84,38.11,38.31,246000
AMED,20120618,11.94,12.19,11.73,11.99,294400
AMGN,20120618,71.24,72.14,71.08,72.02,4015500
AMIC,20120618,4.24,4.97,4.24,4.8,1300
AMKR,20120618,4.54,4.74,4.51,4.71,1155400
AMNB,20120618,22.54,23.93,21.95,23.21,43800
AMOT,20120618,6.1,6.2,6,6.2,2300
AMOV,20120618,24.15,24.76,23.86,24.76,9900
AMPE,20120618,3.74,3.8,3.61,3.71,150800
AMRB,20120618,7.35,7.35,7.07,7.07,2400
AMRI,20120618,2.57,2.65,2.56,2.62,132600
AMRN,20120618,11.84,12.6,11.73,12.48,6722300
AMRS,20120618,2.67,3.24,2.62,3.12,857200
AMSC,20120618,3.82,3.94,3.75,3.91,497100
AMSF,20120618,26.61,26.7,26.23,26.25,39100
AMSG,20120618,28.94,29.33,28.81,29.12,108100
AMSWA,20120618,8.34,8.46,8.1,8.11,64300
AMWD,20120618,15.91,16.63,15.91,16.29,22600
AMZN,20120618,217.28,223.76,216.73,222.66,3371400
ANAC,20120618,4.9,5.19,4.84,5.08,34900
ANAD,20120618,1.8,1.87,1.79,1.85,269900
ANAT,20120618,69.62,71,69.5,70.69,8500
ANCB,20120618,10.54,10.54,10.54,10.54,200
ANCI,20120618,1.68,1.71,1.65,1.71,2100
ANCX,20120618,12.42,12.5,12.06,12.5,34000
ANDAU,20120618,10,10,10,10,0
ANDE,20120618,42.44,42.98,42.2,42.28,50600
ANEN,20120618,19.67,19.89,19.4,19.54,51700
ANGI,20120618,14.35,14.98,14.16,14.8,532100
ANGO,20120618,12.16,12.35,12.16,12.2,53300
ANIK,20120618,13.79,13.99,13.46,13.54,107100
ANLY,20120618,4.08,4.2,4.06,4.2,2000
ANSS,20120618,63.91,65.52,63.15,65.51,650600
ANTH,20120618,2.7,2.7,2.45,2.61,987500
ANTP,20120618,2.77,2.77,2.71,2.73,700
AOSL,20120618,9.26,9.72,9.26,9.53,36500
APAGF,20120618,18.89,19,18.62,18.81,43200
APEI,20120618,29.16,29.41,28.71,29.24,254000
APFC,20120618,8.96,9.31,8.95,9.28,6200
APOG,20120618,14.86,15.23,14.77,14.98,91300
APOL,20120618,33.1,33.43,32.57,33.21,1079000
APPY,20120618,3,3.3,2.76,3.06,99700
APRI,20120618,3.1,3.28,3.06,3.15,236000
APSA,20120618,13.63,14.79,13.26,13.7,900
APWC,20120618,2.56,2.9,2.5,2.9,7200
ARAY,20120618,5.95,6.09,5.91,5.99,567700
ARCC,20120618,15.26,15.4,15.16,15.38,875400
ARCI,20120618,3.92,3.95,3.8,3.8,17700
ARCP,20120618,10,10.08,9.99,10.05,163500
ARCW,20120618,3.15,3.15,3.1,3.1,2100
ARDNA,20120618,82.19,83.15,82.19,83.15,1000
AREX,20120618,24.33,24.71,23.88,24.03,610100
ARIA,20120618,17.57,17.91,17.55,17.59,2878600
ARII,20120618,25.13,25.96,24.74,25.76,75000
ARKR,20120618,14.17,14.19,14.1,14.1,1700
ARLP,20120618,54.7,54.8,53.88,54.46,88200
ARMH,20120618,23.08,23.49,22.96,23.35,3068400
ARNA,20120618,8.75,9.55,8.72,9.38,46173800
AROW,20120618,24.13,24.3,23.86,23.92,39800
ARQL,20120618,6,6.03,5.66,5.68,886000
ARRS,20120618,13.12,13.53,13.06,13.43,863900
ARRY,20120618,3.17,3.37,3.16,3.32,635400
