<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACC,20110802,4.83,4.89,4.55,4.64,15100
AAME,20110802,1.82,2,1.82,1.95,8700
AAON,20110802,22.8,22.93,22.1,22.13,65800
AAPL,20110802,397.62,397.9,388.35,388.91,22840600
AAWW,20110802,50.75,55.56,49.15,51.2,1225400
AAXJ,20110802,62.17,62.25,61.19,61.22,267800
ABAX,20110802,22.42,22.55,21.89,21.93,353200
ABCB,20110802,10.19,10.3,9.97,9.99,53700
ABCD,20110802,3.17,3.25,3.09,3.09,24300
ABCO,20110802,26.255,26.355,25.19,25.195,78700
ABFS,20110802,24.69,25.27,23.87,23.9,1484900
ABIO,20110802,8.88,9.06,8.52,8.52,74500
ABMD,20110802,15.5,15.95,15.15,15.16,141200
ABTL,20110802,4.95,5,4.85,4.9,35500
ACAD,20110802,1.63,1.66,1.55,1.56,170100
ACAS,20110802,9.95,10.03,9.71,9.83,7151700
ACAT,20110802,15.66,16.24,14.97,15,177400
ACCL,20110802,7.06,7.24,6.95,7,131600
ACET,20110802,6.26,6.39,6.05,6.08,97000
ACFC,20110802,5.98,6.04,5.11,5.25,12200
ACFN,20110802,4.92,5.04,4.82,5.04,305100
ACGL,20110802,33.33,34,33.25,33.26,735600
ACHN,20110802,7.31,7.64,7.1,7.1,546700
ACIW,20110802,35.75,36.67,34.74,34.75,178600
ACLS,20110802,1.67,1.68,1.6,1.6,538500
ACNB,20110802,15.32,15.32,15.25,15.25,700
ACOR,20110802,27.15,27.55,26.19,26.52,858400
ACPW,20110802,8.5,8.85,8.35,8.5,714100
ACRX,20110802,3.98,4.15,3.95,3.95,1300
ACTG,20110802,43.2,46.32,42.09,42.16,801700
ACTS,20110802,2.07,2.11,2.05,2.11,19000
ACUR,20110802,2.99,3.14,2.95,3.03,114500
ACWI,20110802,46.48,46.63,45.59,45.65,356000
ACWX,20110802,42.95,43.31,42.33,42.34,101100
ACXM,20110802,13.5,13.65,12.99,13.01,457500
ADAT,20110802,2.04,2.08,2.02,2.02,45500
ADBE,20110802,27.44,27.75,27.01,27.03,4708100
ADEP,20110802,4.03,4.03,3.93,4.01,2200
ADES,20110802,18.34,18.89,18.02,18.36,39900
ADI,20110802,33.66,34.05,32.98,32.98,4854300
ADP,20110802,50.26,50.67,49.56,49.6,4238700
ADRA,20110802,27.32,27.32,27.08,27.08,7200
ADRD,20110802,21.37,21.37,21,21,13100
ADRE,20110802,45.32,45.35,44.46,44.46,84900
ADRU,20110802,20.77,20.86,20.42,20.44,10800
ADSK,20110802,34.08,34.48,33.44,33.44,3981500
ADTN,20110802,32.05,32.22,31.33,31.34,1207500
ADUS,20110802,5.55,5.78,5.52,5.52,15100
ADVS,20110802,23.42,23.68,22.95,23.18,431800
AEGR,20110802,15.25,15.63,15.07,15.1,43000
AEHR,20110802,1.34,1.38,1.34,1.36,4500
AEIS,20110802,10.5,10.58,9.93,9.93,723600
