<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAIT,20130705,26.96,27.32,26.96,27.23,7300
AAME,20130705,3.71,3.74,3.7,3.74,3100
AAON,20130705,23.12,23.82,22.78,23.82,76700
AAPL,20130705,420.39,423.29,415.35,417.42,9788600
AAWW,20130705,43.15,43.35,42.11,42.67,128300
AAXJ,20130705,54,54.2,53.41,53.77,299500
ABAX,20130705,48.6,49.35,47.9,49.3,49300
ABCB,20130705,18.19,18.84,18.13,18.79,44700
ABCD,20130705,1.24,1.29,1.24,1.29,300
ABCO,20130705,54.75,55.78,54.12,55.04,89800
ABFS,20130705,23.22,23.47,22.76,22.95,250700
ABIO,20130705,1.29,1.36,1.29,1.31,102500
ABMD,20130705,22.49,22.49,22.05,22.37,126200
ABTL,20130705,4.7,4.75,4.69,4.7,8700
ACAD,20130705,18.2,18.2,17.6,18.04,1262000
ACAS,20130705,12.81,12.81,12.57,12.68,1624600
ACAT,20130705,47.82,48.55,47.58,48.33,41100
ACCL,20130705,8.54,8.58,8.42,8.53,113300
ACET,20130705,14.28,14.29,14.09,14.22,95600
ACFC,20130705,4.88,4.88,4.88,4.88,0
ACFN,20130705,8.62,8.79,8.38,8.79,74200
ACGL,20130705,51.57,51.97,51.13,51.94,246000
ACHC,20130705,32.41,32.41,30.7,32.13,795600
ACHN,20130705,6.35,6.37,6.12,6.19,1497400
ACIW,20130705,47.48,47.6,46.55,47.14,110000
ACLS,20130705,1.83,1.85,1.79,1.85,428100
ACNB,20130705,16.73,16.75,16.57,16.57,1500
ACOR,20130705,35.74,36.61,35.02,36.6,436200
ACPW,20130705,4.17,4.17,4.11,4.11,8400
ACRX,20130705,10.19,10.33,9.98,10.29,303500
ACST,20130705,2.85,2.98,2.82,2.91,23300
ACTG,20130705,23.36,23.36,22.58,22.96,366000
ACTS,20130705,2.91,2.95,2.9,2.94,18500
ACUR,20130705,2.03,2.03,1.88,1.93,561500
ACWI,20130705,50.52,50.52,49.99,50.42,453500
ACWX,20130705,41,41.03,40.56,40.85,389700
ACXM,20130705,24.43,24.64,24.22,24.64,280000
ADAT,20130705,0.89,0.92,0.87,0.9,45700
ADBE,20130705,46.69,47.1,46.55,47,1614500
ADEP,20130705,3.7,3.71,3.58,3.65,25400
ADES,20130705,41.52,41.9,40.11,41.83,33100
ADHD,20130705,7.05,7.05,6.83,6.84,6200
ADI,20130705,45.99,46.26,45.68,46.21,936100
ADNC,20130705,13.29,13.7,13.12,13.69,89700
ADP,20130705,70.64,71.17,70,70.75,1534600
ADRA,20130705,26.38,27.13,26.38,27.13,1700
ADRD,20130705,21.61,21.61,21.57,21.57,500
ADRE,20130705,33.87,33.87,33.15,33.46,19400
ADRU,20130705,21.1,21.1,21.1,21.1,300
ADSK,20130705,33.93,34.26,33.64,34.16,2322700
ADTN,20130705,25.49,25.5,24.94,25.28,672100
ADUS,20130705,18.24,18.9,17.62,18.86,175700
ADVS,20130705,35.69,36.04,35.39,35.81,174300
AEGN,20130705,23.65,23.65,23.07,23.45,84000
AEGR,20130705,69,71.16,68.6,71.11,342300
AEHR,20130705,1.37,1.37,1.37,1.37,100
AEIS,20130705,18.63,19.19,18.51,19.17,210100
AEPI,20130705,73.3,74.61,73.3,73.73,10500
AERL,20130705,4.08,4.08,3.93,3.96,61200
AETI,20130705,7.4,7.47,7.38,7.47,41300
AEY,20130705,2.25,2.29,2.25,2.25,6800
AEZS,20130705,1.88,1.9,1.85,1.88,53200
AFAM,20130705,18.85,18.95,18.56,18.78,22200
AFCB,20130705,17.12,17.39,17.12,17.39,400
AFCE,20130705,37.48,37.48,36.8,37.35,152000
AFFX,20130705,4.72,4.72,4.57,4.7,310100
AFH,20130705,9.2,9.24,9.07,9.15,3200
AFOP,20130705,25,28.72,25,28.51,601200
AFSI,20130705,38,39.38,37.27,39.36,384500
AGEN,20130705,3.89,3.91,3.82,3.91,90600
AGII,20130705,43.93,44.19,43.33,44.11,145200
AGIIL,20130705,24.58,24.58,23.71,24.29,8700
AGNC,20130705,21.4,21.42,20.2,20.76,21061700
AGNCP,20130705,25.16,25.16,24.13,24.61,88500
AGYS,20130705,11.38,11.45,11.11,11.45,32200
AHGP,20130705,60.77,62.27,59.37,62.18,16500
AHPI,20130705,2.71,2.78,2.68,2.78,10700
AIMC,20130705,29.05,29.49,28.85,29.47,170600
AINV,20130705,8,8,7.73,7.93,2732900
AIQ,20130705,16.15,16.15,15.7,16.01,37700
AIRM,20130705,34.42,34.49,33.75,34.08,222400
AIRT,20130705,9.89,10.1,9.89,10.1,1600
AIXG,20130705,17.12,17.2,16.91,17.07,38800
AKAM,20130705,42.96,43.29,42.57,43.03,949700
AKRX,20130705,13.88,13.9,13.6,13.81,260900
ALCO,20130705,42.59,43.38,42.3,42.94,14200
ALCS,20130705,11.22,11.23,11.01,11.01,2400
ALGN,20130705,38.36,38.39,37.83,38.39,361000
ALGT,20130705,109.14,109.37,106.44,106.93,69700
ALIM,20130705,4.95,5,4.83,4.93,35700
ALKS,20130705,29.37,29.44,28.62,29.2,934300
ALLB,20130705,14.38,14.38,14.38,14.38,0
ALLT,20130705,13.22,13.27,12.8,13.03,169800
ALNY,20130705,36.83,37.93,36.53,37.82,458700
ALOG,20130705,75.52,75.52,73.96,74.7,39400
ALOT,20130705,11,11.11,11,11.11,17400
ALSK,20130705,1.73,1.75,1.72,1.73,144500
ALTI,20130705,2.22,2.39,2.22,2.26,11900
ALTR,20130705,33.33,33.78,33.18,33.69,1448100
ALVR,20130705,1.19,1.19,1.05,1.1,256500
ALXA,20130705,4.24,4.3,4.24,4.27,80400
ALXN,20130705,96.31,96.58,95.52,96.45,514900
AMAG,20130705,22.27,22.72,21.97,22.69,27900
AMAP,20130705,12.16,12.2,11.99,12.07,99300
AMAT,20130705,15.12,15.31,14.97,15.22,8382800
AMBA,20130705,17.37,17.48,16.98,17.23,530900
AMBC,20130705,23.66,23.66,22.23,22.4,309600
AMBCW,20130705,11.99,12.45,11.95,12.45,50800
AMBI,20130705,8.75,9.67,8.7,9.2,145400
AMBT,20130705,2.88,3.01,2.86,3.01,25200
AMCC,20130705,8.85,8.89,8.59,8.89,450600
AMCF,20130705,0.53,0.58,0.52,0.58,3000
AMCN,20130705,1.76,1.84,1.76,1.84,45000
AMCX,20130705,66.48,66.88,66.03,66.84,256200
AMED,20130705,10.6,11.03,10.56,11,306300
AMGN,20130705,96.92,97.9,96.78,97.64,2233400
AMIC,20130705,6.94,7.3,6.94,7,8100
AMKR,20130705,4.35,4.35,4.24,4.28,392400
AMNB,20130705,22.81,23,22.45,22.99,15300
AMOT,20130705,6.73,6.86,6.71,6.72,3400
AMOV,20130705,21.29,21.29,20.85,20.9,3300
AMRB,20130705,8.75,8.94,8.51,8.94,4800
AMRI,20130705,13.03,13.46,12.86,13.35,373500
AMRN,20130705,5.85,6,5.78,5.96,1781500
AMRS,20130705,3,3,2.85,2.94,67900
AMSC,20130705,2.58,2.64,2.48,2.63,429100
AMSF,20130705,33.87,36.14,33.87,36.14,54700
AMSG,20130705,35.67,35.99,35.27,35.93,66100
AMSWA,20130705,8.8,8.96,8.73,8.93,36100
AMWD,20130705,37.63,37.63,35.41,35.83,145600
AMZN,20130705,285,286.38,282.07,285.88,1985900
ANAC,20130705,5.51,5.63,5.41,5.63,99900
ANAD,20130705,2.21,2.24,2.2,2.24,232900
ANAT,20130705,102.01,105.01,100.4,104.54,33200
ANCB,20130705,17.93,17.93,17.93,17.93,0
ANCI,20130705,1.9,1.9,1.77,1.86,13300
ANCX,20130705,13.33,13.74,13.33,13.72,14600
ANDE,20130705,54.38,54.51,53.39,53.81,57100
ANEN,20130705,23.35,23.59,22.93,23.4,36200
ANGI,20130705,28,28.22,27.32,28,468200
ANGO,20130705,11.56,11.83,10.55,11.79,54000
ANIK,20130705,18,18.06,17.75,18.04,73600
ANLY,20130705,3.9,3.9,3.81,3.9,5000
ANSS,20130705,73.5,74.52,72.76,74.5,258600
ANTH,20130705,4,4.16,3.92,3.92,259800
AOSL,20130705,7.89,7.89,7.4,7.5,133700
APAGF,20130705,12.45,12.82,12.27,12.72,7600
APEI,20130705,38.36,39.83,38.36,39.8,54800
APFC,20130705,28.74,29.05,28.45,29.05,45900
APOG,20130705,25.21,25.28,24.66,25.25,97900
APOL,20130705,17.77,18.01,17.48,17.94,1528900
APPY,20130705,1.4,1.41,1.34,1.36,611900
APRI,20130705,2.23,2.27,2.21,2.22,285600
APSA,20130705,16.45,16.45,16.45,16.45,200
APWC,20130705,3.4,3.4,3.31,3.4,300
AQU,20130705,9.9,9.9,9.9,9.9,0
ARAY,20130705,5.74,5.74,5.55,5.68,670300
ARCC,20130705,17.21,17.35,16.94,17.17,1529400
ARCI,20130705,2.29,2.36,2.25,2.3,10100
ARCP,20130705,14.69,14.69,14.13,14.26,2572400
ARCW,20130705,5.27,5.27,5.27,5.27,100
ARDNA,20130705,112.52,115.01,112.52,114.97,2500
AREX,20130705,26.92,26.93,26.32,26.89,496000
ARIA,20130705,19.44,19.6,19.23,19.4,1179900
ARII,20130705,32,32.41,31.25,32.17,208800
ARKR,20130705,20.06,20.85,20.06,20.85,6500
ARLP,20130705,71.82,72.95,70.56,71.52,27500
ARMH,20130705,37.93,38.08,37.39,38.04,6438200
ARNA,20130705,7.03,7.03,6.65,7,9691600
AROW,20130705,25.39,25.85,25.34,25.75,32000
ARQL,20130705,2.63,2.76,2.54,2.73,298100
ARRS,20130705,14.74,14.74,14.46,14.71,867900
ARRY,20130705,5.01,5.01,4.91,4.97,716200
ARTC,20130705,35.28,35.28,34.64,35.14,94800
ARTNA,20130705,22.35,22.53,21.89,22.32,9400
ARTW,20130705,7.56,7.65,7.53,7.64,3700
ARTX,20130705,1.53,1.53,1.36,1.37,118000
ARUN,20130705,16.1,16.18,15.77,16.18,1367100
ARWR,20130705,2.02,2.02,1.96,2,40900
ASBB,20130705,16.5,16.5,16.5,16.5,0
ASBC,20130705,16.29,16.65,16.11,16.6,855500
ASBCW,20130705,1.8,1.94,1.8,1.94,31500
ASBI,20130705,10.63,10.64,10.6,10.6,1000
ASCMA,20130705,81.6,82.44,80.86,82.03,18800
ASEI,20130705,56.51,56.89,56.09,56.84,13000
ASFI,20130705,8.94,8.96,8.76,8.84,21900
ASIA,20130705,11.58,11.62,11.57,11.62,113100
ASMI,20130705,34.1,34.1,33.84,34.07,6000
ASML,20130705,81.22,82.36,80.7,82.1,1093100
ASNA,20130705,18.1,18.14,17.75,18.1,803600
ASPS,20130705,95.85,97.87,95.31,96.36,53100
ASRV,20130705,3,3.1,2.99,3,21000
ASRVP,20130705,26.3,26.3,26.3,26.3,200
ASTC,20130705,0.67,0.68,0.61,0.68,41500
ASTE,20130705,35.81,35.81,35.28,35.5,82000
ASTI,20130705,0.9,0.98,0.9,0.97,1892400
ASTM,20130705,0.35,0.42,0.35,0.37,599100
ASTX,20130705,4.51,4.57,4.41,4.49,554600
ASUR,20130705,5.77,5.83,5.77,5.83,500
ASYS,20130705,6.36,6.57,6.15,6.38,35000
ATAI,20130705,4.95,4.96,4.5,4.54,13900
ATAX,20130705,6.75,6.75,6.62,6.64,81600
ATEA,20130705,2.11,2.23,2.09,2.1,2500
ATEC,20130705,2.18,2.24,2.11,2.2,334300
ATHN,20130705,85.89,88,85.31,87.75,329300
ATHX,20130705,1.72,1.72,1.67,1.68,129500
ATLC,20130705,3.56,3.65,3.52,3.64,7700
ATLO,20130705,23.19,23.47,22.42,23.15,19200
ATMI,20130705,24.94,25,24.5,24.68,171100
ATML,20130705,7.56,7.6,7.43,7.55,2882300
ATNI,20130705,50.32,50.39,49.25,49.82,17400
ATNY,20130705,2.64,2.66,2.56,2.66,29400
ATOS,20130705,5.02,5.16,4.95,5.16,40600
ATRC,20130705,9.77,9.85,9.66,9.85,24400
ATRI,20130705,221,221.49,220.86,221.49,600
ATRM,20130705,0.51,0.51,0.51,0.51,400
ATRO,20130705,41.25,42.36,41.05,42.27,57500
ATRS,20130705,4.35,4.45,4.25,4.45,1208100
ATSG,20130705,6.6,6.6,6.42,6.5,83100
ATTU,20130705,5.42,5.6,5.3,5.54,52500
ATVI,20130705,14.45,14.66,14.34,14.66,2709100
ATX,20130705,16.93,16.93,16.7,16.85,25500
AUBN,20130705,22.25,22.5,22.25,22.5,500
AUDC,20130705,4.62,4.62,4.53,4.56,27800
AUXL,20130705,17.3,17.3,16.81,16.97,472500
AVAV,20130705,19.97,20.08,19.9,20,98600
AVEO,20130705,2.52,2.53,2.45,2.51,450500
AVGO,20130705,38.62,39.18,38.16,38.81,1444600
AVHI,20130705,17.46,17.54,16.74,17.46,26700
AVID,20130705,5.9,6.09,5.86,6.08,86300
AVNR,20130705,4.31,4.33,4.07,4.26,2404300
