<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACC,20121221,4.41,4.59,4.26,4.49,148500
AAIT,20121221,27.06,27.13,26.83,26.98,38800
AAME,20121221,2.85,2.85,2.85,2.85,200
AAON,20121221,20,20.25,19.97,20.15,386900
AAPL,20121221,512.5,519.67,510.24,519.33,21304200
AAWW,20121221,43.4,44.45,42.82,44.44,282200
AAXJ,20121221,58.79,58.99,58.61,58.97,297600
ABAX,20121221,37.33,37.64,36.4,37.2,238000
ABCB,20121221,12.53,12.59,12.23,12.48,153600
ABCD,20121221,1.1,1.4,1.1,1.4,63800
ABCO,20121221,49.01,49.2,48.39,49.1,370300
ABFS,20121221,9.17,9.59,8.85,9.56,819800
ABIO,20121221,2.34,2.4,2.28,2.34,39500
ABMD,20121221,13.56,13.8,13.41,13.66,4813000
ABTL,20121221,3.8,4.02,3.8,4,2600
ACAD,20121221,4.6,4.67,4.5,4.51,2461700
ACAS,20121221,12.2,12.42,12.1,12.34,3324200
ACAT,20121221,32.92,34.07,32.28,33.69,524000
ACCL,20121221,9.4,9.55,9.35,9.47,391600
ACET,20121221,9.75,9.9,9.61,9.9,251500
ACFC,20121221,2.62,2.68,2.02,2.02,51000
ACFN,20121221,7.5,7.65,7.4,7.42,191300
ACGL,20121221,43.35,43.58,43.05,43.11,857800
ACHC,20121221,22.78,22.98,21.92,22.79,904600
ACHN,20121221,8.6,8.88,8.13,8.8,3210300
ACIW,20121221,43.15,44.05,43.15,43.89,511700
ACLS,20121221,1.32,1.35,1.26,1.35,995300
ACNB,20121221,16.02,16.1,16.01,16.1,5600
ACOR,20121221,24.8,25.39,24.51,25.18,1088700
ACPW,20121221,3.45,3.55,3.3,3.5,318400
ACRX,20121221,3.83,3.95,3.77,3.9,160900
ACTG,20121221,24.55,24.55,23.64,24.17,625300
ACTS,20121221,1.61,1.63,1.61,1.63,18900
ACUR,20121221,2.38,2.4,2.2,2.31,519100
ACWI,20121221,47.63,47.93,47.61,47.91,1111400
ACWX,20121221,41.48,41.64,41.34,41.64,434300
ACXM,20121221,17.9,17.9,17.54,17.8,988300
ADAT,20121221,0.99,0.99,0.88,0.92,38600
ADBE,20121221,37.55,38,37.35,37.71,7980600
ADEP,20121221,2.41,2.69,2.39,2.69,73000
ADES,20121221,16.62,16.83,16.41,16.61,146000
ADI,20121221,41.89,42.24,41.34,42.19,11347300
ADNC,20121221,10.09,10.29,9.85,10.25,158500
ADP,20121221,57.81,58.22,57.23,57.58,4359100
ADRA,20121221,25.75,26,25.75,25.93,1200
ADRD,20121221,20.94,21.01,20.84,20.95,9700
ADRE,20121221,39.31,39.82,39.12,39.71,59800
ADRU,20121221,20.62,20.73,20.62,20.73,500
ADSK,20121221,35.32,35.62,34.73,35.49,3889600
ADTN,20121221,19.7,19.88,19.26,19.65,2063000
ADUS,20121221,6.89,7.07,6.74,6.99,31100
ADVS,20121221,21.86,22.17,21.65,21.79,894100
AEGN,20121221,21.81,21.95,21.13,21.7,838900
AEGR,20121221,24.7,25.74,23.92,25.71,1008300
AEHR,20121221,0.81,0.9,0.8,0.8,14000
AEIS,20121221,13.41,13.71,12.8,13.7,948000
AEPI,20121221,55.43,56.69,55.4,56.32,43900
AERL,20121221,3.06,3.08,2.96,3.02,141600
AETI,20121221,4.82,4.89,4.8,4.89,2800
AEY,20121221,1.98,2.02,1.92,1.92,24500
AEZS,20121221,2.26,2.27,2.19,2.21,226600
AFAM,20121221,20,20,19,19.12,213900
AFCB,20121221,16.5,16.5,16.5,16.5,12800
AFCE,20121221,25.28,25.71,24.56,24.83,327400
AFFX,20121221,3.28,3.28,3.19,3.22,1066800
AFFY,20121221,19.08,19.39,18.8,19.24,1264600
AFOP,20121221,11.79,12,11.79,12,69000
AFSI,20121221,28.48,28.7,28.31,28.66,419900
AGEN,20121221,3.84,3.91,3.65,3.91,172100
AGII,20121221,34.47,34.47,33.37,33.6,201000
AGIIL,20121221,24.93,24.96,24.78,24.89,9100
AGNC,20121221,31.19,31.4,31.05,31.15,10326800
AGNCP,20121221,26,26,25.82,25.92,15100
AGYS,20121221,8.37,8.5,8.34,8.45,191800
AHGP,20121221,45.54,47.3,45.26,47.29,89500
AHPI,20121221,2.48,2.59,2.48,2.48,3400
AIMC,20121221,21.24,21.42,20.42,21.39,205100
AINV,20121221,8.42,8.47,8.31,8.45,4193100
AIRM,20121221,37.1167,38.9633,36.42,37.7467,603700
AIRT,20121221,8.25,8.48,8.25,8.48,4500
AIXG,20121221,11.65,11.89,11.63,11.89,43100
AKAM,20121221,40.79,41.78,40.28,41.76,3003000
AKRX,20121221,13.2,13.4,13,13.29,1753200
ALCO,20121221,35,37.29,35,37.16,39500
ALCS,20121221,9.16,9.46,9.03,9.46,1700
ALGN,20121221,28,28.55,27.77,28.4,1833200
ALGT,20121221,74.95,76.6,74.72,75.9,185200
ALIM,20121221,1.73,1.79,1.6,1.6,26700
ALKS,20121221,19.17,19.59,19.04,19.27,1374700
ALLB,20121221,12.85,12.85,12.85,12.85,100
ALLT,20121221,17.93,18.12,17.36,17.55,496500
ALNY,20121221,18.4,18.4,17.81,18.07,755300
ALOG,20121221,73.1,73.81,72.3,73.76,154300
ALOT,20121221,9.74,9.98,9.69,9.98,5000
ALSK,20121221,2,2.13,1.98,2.13,778500
