<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACC,20120313,4.71,4.82,4.6,4.7,117900
AAME,20120313,2.9,3.02,2.85,2.85,25000
AAON,20120313,18.68,19.2,18.57,19.11,53500
AAPL,20120313,557.54,568.18,555.75,568.1,24673200
AAWW,20120313,44.6,46.84,43.95,46.34,491900
AAXJ,20120313,57.61,58.42,57.37,58.35,315900
ABAX,20120313,27.26,27.8,27.17,27.78,66100
ABCB,20120313,12,12.3,11.89,12.3,83000
ABCD,20120313,3.02,3.05,2.76,3.05,21200
ABCO,20120313,42.075,42.5,41.72,42.495,91600
ABFS,20120313,18.49,18.78,18.33,18.68,366500
ABIO,20120313,5.7,5.82,5.58,5.82,62500
ABMD,20120313,22.03,22.48,21.97,22.48,533100
ABTL,20120313,4.8,4.95,4.65,4.9,91800
ACAD,20120313,1.75,2.06,1.71,2.04,3357800
ACAS,20120313,8.95,9.01,8.84,9.01,3042000
ACAT,20120313,41.39,41.74,40.89,41.54,241900
ACCL,20120313,7.81,7.99,7.8,7.98,291000
ACET,20120313,9.13,9.38,9.03,9.25,339600
ACFC,20120313,2.27,2.35,2.15,2.3,2900
ACFN,20120313,9.39,9.47,9.26,9.47,104600
ACGL,20120313,37.1,37.54,37.1,37.49,666400
ACHC,20120313,14.91,15.13,14.7,15.07,75600
ACHN,20120313,10.79,10.95,10.45,10.67,789800
ACIW,20120313,39.32,39.88,39.12,39.87,180000
ACLS,20120313,1.64,1.64,1.54,1.58,1650800
ACNB,20120313,14.48,14.48,14.48,14.48,200
ACOR,20120313,25.44,25.66,25.14,25.49,519000
ACPW,20120313,3.8,4,3.75,3.95,367300
ACRX,20120313,3.65,3.65,3.59,3.59,2700
ACTG,20120313,40.51,40.73,40.02,40.73,288000
ACTS,20120313,1.69,1.71,1.67,1.67,23500
ACUR,20120313,3.35,3.42,3.25,3.38,178800
ACWI,20120313,46.69,47.29,46.68,47.27,475400
ACWX,20120313,40.8,41.35,40.77,41.32,191000
ACXM,20120313,14.56,14.86,14.46,14.85,301000
ADAT,20120313,1.4,1.4,1.3,1.34,72000
ADBE,20120313,33.79,34.22,33.42,34.22,3431500
ADEP,20120313,4.3,4.3,4.03,4.03,30800
ADES,20120313,26.3,27,25.6,25.95,224600
ADI,20120313,38.79,39.43,38.73,39.42,2042000
ADP,20120313,55.08,55.24,54.59,55.07,2802400
ADRA,20120313,25.76,26.12,25.76,26.11,5500
ADRD,20120313,20.31,20.57,20.31,20.57,9700
ADRE,20120313,42.68,43.67,42.67,43.67,31300
