<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACC,20120724,6.3,6.3,5.94,6.15,69800
AAIT,20120724,24.82,24.82,24.82,24.82,0
AAME,20120724,2.69,2.7,2.68,2.69,800
AAON,20120724,19.41,19.74,18.4,18.55,37200
AAPL,20120724,607.38,609.68,598.51,600.92,20183200
AAWW,20120724,42.19,42.41,41.18,42.07,267300
AAXJ,20120724,51.09,51.17,50.48,50.77,153400
ABAX,20120724,36.69,36.69,35.69,35.96,196500
ABCB,20120724,11.89,11.89,11.43,11.66,29600
ABCD,20120724,1.05,1.08,1,1.07,60800
ABCO,20120724,45.13,45.48,44.33,44.65,301200
ABFS,20120724,11.38,11.4,11.04,11.18,197100
ABIO,20120724,3.06,3.24,3,3.12,108000
ABMD,20120724,22.74,22.83,21.65,21.89,318400
ABTL,20120724,3.62,3.75,3.6,3.65,21400
ACAD,20120724,1.53,1.69,1.52,1.57,1304300
ACAS,20120724,9.89,9.9,9.5,9.63,4032500
ACAT,20120724,37.08,37.84,36.05,37.28,223800
ACCL,20120724,8.13,8.16,7.89,8.01,111400
ACET,20120724,8.57,8.66,8.5,8.58,101400
ACFC,20120724,2.4,2.4,2.4,2.4,0
ACFN,20120724,8.48,8.8,8.41,8.75,261300
ACGL,20120724,38.72,38.82,38.37,38.64,361000
ACHC,20120724,15.67,16.14,15.07,16.09,242700
ACHN,20120724,6.15,6.19,6.06,6.11,475000
ACIW,20120724,43.94,44,42.56,42.82,190900
ACLS,20120724,0.9,0.9,0.88,0.88,655100
ACNB,20120724,14.06,14.39,14.06,14.06,3800
ACOR,20120724,24.76,24.9,24.04,24.18,197200
ACPW,20120724,4.2,4.2,3.95,3.95,103600
ACRX,20120724,3.17,3.17,3.1,3.11,14600
ACTG,20120724,31.51,32.21,31.15,31.96,1182000
ACTS,20120724,1.68,1.68,1.62,1.65,22000
ACUR,20120724,3.07,3.13,2.85,2.89,40300
ACWI,20120724,43.02,43.04,42.36,42.63,119900
ACWX,20120724,35.85,35.89,35.31,35.53,90700
ACXM,20120724,15.82,15.86,15.47,15.64,354800
ADAT,20120724,1.6,1.6,1.5,1.52,45000
ADBE,20120724,30.67,30.75,29.81,30.01,2866300
ADEP,20120724,3.97,4.01,3.9,4.01,5100
ADES,20120724,21.29,21.68,21.1,21.62,55500
ADI,20120724,36.91,37.01,36.38,36.69,1661900
ADNC,20120724,20.48,20.48,20,20.01,41600
ADP,20120724,55.66,55.68,54.85,55.25,1549400
ADRA,20120724,22.22,22.43,22.22,22.43,1600
ADRD,20120724,18.07,18.07,17.69,17.81,1100
ADRE,20120724,36.66,36.66,36.09,36.29,53500
