<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACC,20110801,5.04,5.16,4.64,4.83,47800
AAME,20110801,2.02,2.02,2.02,2.02,100
AAON,20110801,22.91,23,22.37,22.83,53900
AAPL,20110801,397.78,399.5,392.37,396.75,21886800
AAWW,20110801,52.96,52.96,49.86,50.53,561700
AAXJ,20110801,63.15,63.15,62.01,62.66,396500
ABAX,20110801,24.05,24.13,21.95,22.68,565200
ABCB,20110801,10.15,10.28,9.9,10.25,108200
ABCD,20110801,3.18,3.24,3.15,3.18,51100
ABCO,20110801,27.125,27.34,26.125,26.315,60200
ABFS,20110801,24.2,24.57,23.79,24.08,456400
ABIO,20110801,8.88,9.42,8.82,8.88,62300
ABMD,20110801,16.78,16.78,15.78,15.85,211900
ABTL,20110801,5.15,5.2,4.85,4.95,614100
ACAD,20110801,1.65,1.69,1.63,1.64,75300
ACAS,20110801,9.99,10.03,9.7,10.02,5521400
ACAT,20110801,16.69,16.81,15.39,15.7,146200
ACCL,20110801,7.37,7.37,7.1,7.12,256500
ACET,20110801,6.22,6.34,6.13,6.29,163600
ACFC,20110801,5.47,6.13,5.2,6.03,9000
ACFN,20110801,4.89,5,4.77,4.96,493500
ACGL,20110801,33.88,34.05,33.41,33.48,668000
ACHN,20110801,7.53,7.59,7.38,7.4,610800
ACIW,20110801,36.4,36.64,35.31,36.06,204100
ACLS,20110801,1.71,1.72,1.64,1.67,756700
ACNB,20110801,15.33,15.35,15.25,15.32,3000
ACOR,20110801,28.92,29.55,26.41,27.29,1378700
ACPW,20110801,8.75,8.9,8.5,8.5,506600
ACRX,20110801,4.13,4.38,3.95,4.15,1500
ACTG,20110801,43.95,43.95,42.19,43.2,389600
ACTS,20110801,2.06,2.11,2.04,2.1,19600
ACUR,20110801,3.12,3.15,2.9,3,108400
ACWI,20110801,47.76,47.8,46.46,46.73,1280800
ACWX,20110801,44.32,44.36,43.12,43.51,71600
ACXM,20110801,13.84,13.85,13.39,13.61,635300
ADAT,20110801,2.08,2.1,2,2.02,70000
ADBE,20110801,27.98,28.04,27.23,27.67,6797900
ADEP,20110801,3.89,4.04,3.87,4.02,2900
ADES,20110801,18.81,18.88,17.98,18.36,33900
ADI,20110801,34.91,34.94,33.73,34.08,4381400
ADP,20110801,51.76,51.94,50.2,50.65,3429400
ADRA,20110801,28.04,28.04,27.52,27.52,2100
ADRD,20110801,21.95,21.99,21.43,21.43,4200
ADRE,20110801,46.21,46.21,45.36,45.78,65200
ADRU,20110801,21.42,21.42,20.79,21.02,23700
ADSK,20110801,34.65,34.8,33.58,34.4,4635100
ADTN,20110801,33.71,33.84,32,32.34,1696900
ADUS,20110801,6.31,6.38,5.55,5.56,72400
ADVS,20110801,23.54,23.75,22.84,23.44,357700
AEGR,20110801,15.95,15.95,15.19,15.26,66500
AEHR,20110801,1.4,1.4,1.39,1.4,2300
AEIS,20110801,10.8,10.89,10.27,10.45,1003700
AEPI,20110801,27.35,27.5,26.96,27.18,17600
AERL,20110801,9.45,9.87,9.3,9.8,199500
AETI,20110801,3.59,3.65,3.45,3.51,6700
AEY,20110801,2.57,2.59,2.55,2.59,18000
AEZS,20110801,12.54,12.54,11.58,12,1652700
AFAM,20110801,25.27,25.27,22.65,22.69,269400
AFCB,20110801,13.08,13.08,12.87,12.88,3400
AFCE,20110801,15.65,15.8,15.34,15.5,126000
