<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAIT,20130808,27.54,27.54,27.54,27.54,0
AAME,20130808,3.82,3.85,3.8,3.85,2200
AAON,20130808,23.29,24.05,22.95,24.02,193500
AAPL,20130808,463.86,464.1,457.95,461.01,9142800
AAWW,20130808,43.16,43.6,42.6,42.76,285700
AAXJ,20130808,55.65,55.97,55.24,55.84,334000
ABAX,20130808,41.44,41.44,39.89,40.48,82700
ABCB,20130808,19.3,19.47,19.25,19.27,18300
ABCD,20130808,1.28,1.28,1.23,1.23,7100
ABCO,20130808,60.09,60.09,58.45,58.55,104500
ABFS,20130808,19.71,19.95,19.4,19.71,739500
ABIO,20130808,1.43,1.43,1.39,1.41,397900
ABMD,20130808,22.19,22.66,21.79,22.3,511500
ABTL,20130808,6.26,6.26,6.03,6.15,31500
ACAD,20130808,20.29,20.8,19.66,19.78,1742700
ACAS,20130808,13.25,13.57,13.22,13.46,5639600
ACAT,20130808,57.51,57.58,56.64,57,87200
ACCL,20130808,9.21,9.42,9.18,9.22,102500
ACET,20130808,16.19,16.69,16,16.53,354500
ACFC,20130808,4.04,4.56,3.96,4.29,23300
ACFN,20130808,7.47,7.51,6.71,6.92,170500
ACGL,20130808,53.88,54.08,53.63,53.67,155300
ACHC,20130808,38.42,38.91,37.61,37.71,273000
ACHN,20130808,6.81,7.01,6.43,6.51,1195200
ACIW,20130808,46.12,48.66,46,48.39,1779000
ACLS,20130808,1.87,1.93,1.81,1.89,769300
ACNB,20130808,17,17,16.8,17,600
ACOR,20130808,35.24,35.4,34.49,35.39,300600
ACPW,20130808,3.52,3.63,3.45,3.63,161900
ACRX,20130808,11.5,11.68,10.85,10.94,887600
ACST,20130808,3.95,4.01,3.89,4.01,16600
ACTG,20130808,22.16,23.44,22.16,23.22,701300
ACTS,20130808,2.7,2.7,2.57,2.62,51000
ACUR,20130808,1.78,1.81,1.77,1.78,183300
ACWI,20130808,52.89,53.05,52.63,53,1324700
ACWX,20130808,43,43.41,43,43.31,273100
ACXM,20130808,26.13,26.21,25.72,25.95,471500
ADAT,20130808,0.88,0.9,0.88,0.88,3300
ADBE,20130808,47.32,47.66,47.03,47.51,2974400
ADEP,20130808,3.57,3.61,3.57,3.61,9700
ADES,20130808,42.38,42.88,35.2,42.32,274800
ADHD,20130808,13.41,14.35,13.03,14.34,63800
ADI,20130808,49.52,49.61,48.79,49.1,836500
ADNC,20130808,10.09,10.29,9.95,10.27,170100
ADP,20130808,72.36,72.65,71.95,72.34,1375400
ADRA,20130808,27.97,27.97,27.97,27.97,0
ADRD,20130808,22.85,22.85,22.85,22.85,0
ADRE,20130808,35.4,35.83,35.31,35.76,11000
ADRU,20130808,22.68,22.68,22.57,22.66,4800
ADSK,20130808,35.1,35.72,35.08,35.6,1856600
ADTN,20130808,26.46,26.57,26.28,26.32,410300
ADUS,20130808,21.99,22.42,21.61,22.1,107700
ADVS,20130808,27.89,28.36,27.24,27.77,5631000
AEGN,20130808,22.91,22.95,22.63,22.79,79000
AEGR,20130808,89.73,92.05,89.3,91.16,317300
AEHR,20130808,1.64,1.79,1.58,1.67,17000
AEIS,20130808,21.05,21.31,20.7,20.85,395100
AEPI,20130808,81.36,81.75,80.01,80.55,14800
AERL,20130808,4.09,4.18,3.96,3.97,169000
AETI,20130808,7.35,7.91,7.22,7.46,27300
AEY,20130808,2.62,2.63,2.55,2.62,40100
AEZS,20130808,1.43,1.46,1.4,1.44,347200
AFAM,20130808,19.6,19.79,19.23,19.52,25900
AFCB,20130808,17.84,17.84,17.69,17.69,200
AFCE,20130808,37.98,38.49,37.86,38.22,77600
AFFX,20130808,5,5.09,4.92,5.03,857300
AFH,20130808,9.15,9.46,9,9.46,10000
AFOP,20130808,32.12,33.03,31.77,31.97,164500
AFSI,20130808,42.28,42.52,41.84,42.38,273500
AGEN,20130808,3.68,3.7,3.6,3.6,256200
AGII,20130808,44.1,44.24,43.83,43.89,82000
AGIIL,20130808,23.12,23.59,22.85,23.48,9700
AGIO,20130808,29.42,30.39,29.1,29.85,234900
AGNC,20130808,22.8,23.23,22.75,23.21,5554300
AGNCP,20130808,25.15,25.2,25.04,25.15,93300
AGYS,20130808,11.49,11.94,11.49,11.91,15700
AHGP,20130808,64.71,65.04,63.37,63.48,13400
AHPI,20130808,2.53,2.57,2.52,2.57,1600
AIMC,20130808,24.82,24.99,24.45,24.46,151400
AINV,20130808,8.04,8.25,7.96,8.06,2411500
AIQ,20130808,21.72,22.39,21.6,22.26,142400
AIRM,20130808,33.81,35.77,33.81,35.61,485900
AIRT,20130808,10.24,10.4,10.23,10.3,11900
AIXG,20130808,16.02,16.14,15.83,16,96800
AKAM,20130808,46.24,46.67,45.9,46.63,1305400
AKRX,20130808,15.96,16.02,15.85,15.87,721100
ALCO,20130808,43.82,43.85,42.79,43.73,8700
ALCS,20130808,14.27,14.3,14.17,14.17,13100
ALGN,20130808,44.11,44.35,43.76,44.08,424600
ALGT,20130808,98,98.68,96.82,97.78,90700
ALIM,20130808,4.24,4.32,4.2,4.25,42200
ALKS,20130808,34.24,34.41,33.72,34.28,824400
ALLB,20130808,14.95,14.95,14.95,14.95,0
ALLT,20130808,13.9,14.02,13.5,13.58,355400
ALNY,20130808,47.68,48.21,47.02,47.36,890400
ALOG,20130808,73.68,74.05,73.34,73.76,27500
ALOT,20130808,11.75,12,11.66,11.95,86400
ALSK,20130808,3.55,3.9,3.5,3.76,2779100
ALTI,20130808,2.15,2.18,2.15,2.15,27200
ALTR,20130808,36.34,36.36,35.97,36.26,2903800
ALVR,20130808,0.2,0.2,0.19,0.2,226100
ALXA,20130808,5.3,5.36,5.02,5.2,419500
ALXN,20130808,114.93,115.25,112.74,114.13,678600
AMAG,20130808,23.43,23.5,22.57,22.9,130500
AMAP,20130808,12.93,13.14,12.81,12.93,215700
AMAT,20130808,16.02,16.02,15.58,15.65,19918700
AMBA,20130808,16.09,16.76,16.02,16.6,988600
AMBC,20130808,25.34,25.36,24.78,25,165200
AMBCW,20130808,14.18,14.25,13.7,14.11,16700
AMBI,20130808,13.88,15.04,13.19,13.31,57900
AMBT,20130808,3.02,3.04,2.88,2.99,5300
AMCC,20130808,11.74,11.95,11.59,11.81,1490300
AMCF,20130808,0.64,0.64,0.56,0.63,20000
AMCN,20130808,1.76,1.8,1.76,1.78,14300
AMCX,20130808,72.04,72.46,66.34,66.9,1588200
AMED,20130808,14.58,14.9,14.43,14.62,420400
AMGN,20130808,111.74,111.9,109.35,110.38,4758600
AMIC,20130808,7.7,7.74,7.7,7.74,1200
AMKR,20130808,4.24,4.27,4.19,4.2,446300
AMNB,20130808,23.27,23.84,23.27,23.72,6700
AMOT,20130808,7.17,7.3,7.17,7.3,141000
AMOV,20130808,21.67,22.25,21.67,22.25,7100
AMRB,20130808,8.95,8.95,8.95,8.95,100
AMRI,20130808,12.16,12.24,11.96,12.15,199600
AMRN,20130808,5.29,5.41,5.18,5.31,3765900
AMRS,20130808,2.82,2.84,2.77,2.79,90500
AMSC,20130808,2.5,2.54,2.39,2.48,559900
AMSF,20130808,33.28,33.62,32.68,32.91,81000
AMSG,20130808,39.65,39.97,39.51,39.61,54500
AMSWA,20130808,8.66,8.66,8.38,8.41,33300
AMWD,20130808,34.78,34.98,34.24,34.55,86400
AMZN,20130808,298.52,298.52,292.55,295.74,2346300
ANAC,20130808,8.1,8.3,7.45,8.24,578400
ANAD,20130808,1.91,1.99,1.87,1.89,554000
ANAT,20130808,114.5,115.23,112.61,113.98,21500
ANCB,20130808,17.5,17.5,17.5,17.5,0
ANCI,20130808,1.89,1.89,1.89,1.89,100
ANCX,20130808,15.4,15.49,15.35,15.48,17200
ANDA,20130808,10.05,10.05,10.05,10.05,0
ANDAW,20130808,0.25,0.25,0.25,0.25,0
ANDE,20130808,62.8,63.93,62.5,63.84,212100
ANEN,20130808,24.5,24.5,23.75,24.19,16000
ANGI,20130808,22.84,24.09,22.8,24.04,1064600
ANGO,20130808,11.91,11.94,11.84,11.9,89000
ANIK,20130808,23.72,23.94,23.3,23.63,372800
ANIP,20130808,6.28,6.28,5.99,6.07,68100
ANLY,20130808,3.99,4.05,3.95,4.05,2900
ANSS,20130808,87.82,88.25,86.59,87.99,160700
ANTH,20130808,4,4.05,3.96,4,152900
AOSL,20130808,7.63,7.63,7.56,7.62,18800
APAGF,20130808,15.93,15.93,15.44,15.64,24300
APEI,20130808,39,39.37,37.28,38.53,374400
APFC,20130808,36.5,43.37,36.26,41.79,184800
APOG,20130808,27.55,27.89,27.54,27.76,76700
