<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACC,20110401,5.39,5.43,5.34,5.34,20600
AAME,20110401,2.16,2.18,2.16,2.18,300
AAON,20110401,21.94,21.9533,21.38,21.42,40000
AAPL,20110401,351.1,351.59,343.3,344.56,14952200
AAWW,20110401,69.95,70,67.56,68.9,222900
AAXJ,20110401,63.5,64.28,63.48,64.13,2699400
ABAX,20110401,29,29.13,28.8,28.86,144000
ABCB,20110401,10.11,10.25,10.1,10.16,56400
ABCD,20110401,3.19,3.43,3.16,3.4,13600
ABCO,20110401,25.745,25.875,25.25,25.355,52300
ABFS,20110401,26.11,26.33,25.81,25.99,322500
ABIO,20110401,15.66,15.84,15,15.42,25900
ABMD,20110401,14.04,14.7,14.04,14.65,227200
ABTL,20110401,7.05,7.3,6.75,7.3,317000
ACAD,20110401,1.74,1.75,1.65,1.65,303600
ACAS,20110401,9.99,10.14,9.91,10.12,5264500
ACAT,20110401,15.73,15.97,15.56,15.77,75400
ACCL,20110401,8.01,8.05,7.86,7.94,244300
ACET,20110401,8.02,8.08,7.97,8.04,66700
ACFC,20110401,10.06,10.07,9.95,9.99,5400
ACFN,20110401,3.6,3.64,3.55,3.61,13600
ACGL,20110401,33.3033,33.5133,32.9,33.5067,389200
ACHN,20110401,7.18,7.18,7.11,7.14,360600
ACIW,20110401,32.9,33.06,32.71,32.9,251800
ACLS,20110401,2.66,2.69,2.56,2.59,664600
ACNB,20110401,15.99,16.5,15.99,16.5,6700
ACOR,20110401,23.2,23.3,22.56,22.91,377500
ACPW,20110401,14.95,15.15,14.35,14.6,524400
ACRX,20110401,3.51,3.51,3.38,3.38,5200
ACTG,20110401,34.66,36.06,33.89,35.6,862100
ACTS,20110401,2.51,2.51,2.44,2.44,76500
ACUR,20110401,3.16,3.37,3.16,3.35,111100
ACWI,20110401,48.73,48.91,48.47,48.73,1043900
ACWX,20110401,45.58,46.02,45.51,45.92,122100
ACXM,20110401,14.15,14.92,14.05,14.67,1138600
ADAT,20110401,1.18,1.18,1.06,1.06,65700
ADBE,20110401,33.53,34.64,33.34,34.16,10489600
ADEP,20110401,4.61,4.75,4.61,4.65,15600
